instance,graph,neighbor_scale,err,dim,noise,ks_true,s1,ent_t1,ent_t2,ent_t4,ent_t8,ent_t16,ent_t32,ent_t64,ent_t128
634,cak_160,0.697149822273964,,4,0.2,-5.665571274105821,0.146244004368782,1.5506935119628906,2.329231023788452,3.259632110595703,4.309945583343506,5.419404029846191,6.4089837074279785,7.128684997558594,7.568926334381103
634,cak_320,0.8561155186726399,,4,0.2,-5.665571274105821,0.2769230306148529,2.728687047958374,3.851686477661133,4.995627880096436,6.026668548583984,6.851081848144531,7.409966468811035,7.725772380828857,7.875672340393066
634,cak_640,1.0725768986049662,,4,0.2,-5.665571274105821,0.4187425971031189,3.964482545852661,5.169293403625488,6.193994045257568,6.980804443359375,7.489006042480469,7.758270263671875,7.870385646820068,7.901113033294678
758,adaptive_k50,,,5,0.2,-31.847402516207318,1.600804328918457,7.660155773162842,7.916840553283691,7.996438503265381,7.991054534912109,7.98092794418335,7.978740215301514,7.978459358215332,7.978455543518066
758,adaptive_k100,,,5,0.2,-31.847402516207318,1.6936070919036863,7.779350280761719,7.966462135314941,8.000906944274902,7.992978096008301,7.9896240234375,7.98898458480835,7.988955974578857,7.988955974578857
758,cak_160,0.6099891347577483,,5,0.2,-31.847402516207318,0.1165794879198074,0.997456967830658,1.6367868185043335,2.536350011825561,3.6763761043548575,4.959597110748291,6.149703502655029,6.969598293304443,7.437090396881103
758,cak_320,0.7286743951641395,,5,0.2,-31.847402516207318,0.2857178449630737,2.166235446929932,3.302816152572632,4.63019323348999,5.914748668670654,6.842360019683838,7.365352153778076,7.662672519683838,7.826182842254639
758,cak_640,0.8840820077306522,,5,0.2,-31.847402516207318,0.5134958028793335,3.5746238231658936,4.992764949798584,6.22982120513916,7.029979705810547,7.469127655029297,7.709433078765869,7.835904121398926,7.896693706512451
882,adaptive_k50,,,6,0.2,-34.46401744692712,1.8202972412109373,7.608992099761963,7.871252536773682,7.965540409088135,7.969489574432373,7.958652019500732,7.956429958343506,7.956137180328369,7.956129550933838
882,adaptive_k100,,,6,0.2,-34.46401744692712,1.934496521949768,7.7180023193359375,7.92125940322876,7.978492259979248,7.982425212860107,7.98007345199585,7.978965759277344,7.978896617889404,7.978895664215088
882,cak_160,0.5408233228839892,,6,0.2,-34.46401744692712,0.1990661919116974,1.489722728729248,2.1803996562957764,3.0496819019317627,4.076292991638184,5.170328617095947,6.1288652420043945,6.815497875213623,7.261636257171631
882,cak_320,0.6294963688407416,,6,0.2,-34.46401744692712,0.3653801679611206,2.4525129795074463,3.494340658187866,4.660194396972656,5.7720160484313965,6.618144989013672,7.16295337677002,7.497796535491943,7.7057952880859375
882,cak_640,0.7434810625599323,,6,0.2,-34.46401744692712,0.5697298049926758,3.603965759277344,4.862325191497803,5.991430282592773,6.799008369445801,7.292039394378662,7.580408573150635,7.750921726226807,7.8516845703125
372,adaptive_k50,,,2,0.1,-0.6620962286516345,0.3086618185043335,5.853548526763916,6.594203948974609,7.21968412399292,7.6612229347229,7.907947063446045,7.98260498046875,7.992320537567139,7.996325969696045
372,adaptive_k100,,,2,0.1,-0.6620962286516345,0.4260313510894775,6.50763463973999,7.137700080871582,7.604690551757812,7.88359785079956,7.978005886077881,7.991027355194092,7.996529579162598,7.997838020324707
372,cak_160,1.4481408276048866,,2,0.1,-0.6620962286516345,0.07821536809206,3.0399930477142334,3.643962860107422,4.206648349761963,4.762850284576416,5.360240459442139,6.025872230529785,6.718899726867676,7.292335510253906
372,cak_320,2.088798507046873,,2,0.1,-0.6620962286516345,0.1158172562718391,3.837994337081909,4.453160285949707,5.067224979400635,5.716794013977051,6.404966831207275,7.043885707855225,7.50698709487915,7.78200101852417
372,cak_640,3.2379043009312958,,2,0.1,-0.6620962286516345,0.1831990629434585,4.755828380584717,5.417960166931152,6.090260028839111,6.751478672027588,7.300825595855713,7.671891689300537,7.873405456542969,7.941083431243896
511,adaptive_k50,,,3,0.2,-3.66641372894382,0.8672078251838684,7.102824687957764,7.583858013153076,7.837384223937988,7.969526767730713,8.000244140625,7.995040416717529,7.9936676025390625,7.993650913238525
511,adaptive_k100,,,3,0.2,-3.66641372894382,0.9893049001693726,7.405884742736816,7.756641387939453,7.937703132629394,7.999757289886475,8.000121116638184,7.997969150543213,7.997904300689697,7.997903347015381
511,cak_160,0.894427817134667,,3,0.2,-3.66641372894382,0.1303761452436447,2.108840227127075,2.8986129760742188,3.825864791870117,4.839674949645996,5.804614543914795,6.612579345703125,7.207461833953857,7.569798469543457
511,cak_320,1.1527197610604738,,3,0.2,-3.66641372894382,0.22215136885643,3.1416118144989014,4.167125701904297,5.208837032318115,6.141301155090332,6.882340908050537,7.383304595947266,7.667656898498535,7.822775363922119
511,cak_640,1.5138951276365442,,3,0.2,-3.66641372894382,0.3283698558807373,4.2135396003723145,5.276618957519531,6.220607757568359,6.957777500152588,7.433454990386963,7.696676731109619,7.834689617156982,7.889939785003662
635,adaptive_k50,,,4,0.2,-39.18539102422648,1.3053832054138184,7.399351596832275,7.758223056793213,7.925585269927978,7.9667534828186035,7.977160930633545,7.981926918029785,7.98245096206665,7.982465267181396
635,adaptive_k100,,,4,0.2,-39.18539102422648,1.4345030784606934,7.589569091796875,7.864195346832275,7.959744930267334,7.98335599899292,7.991916179656982,7.993093967437744,7.993139743804932,7.993139743804932
635,cak_160,0.7325704861946172,,4,0.2,-39.18539102422648,0.1974788308143615,2.0199615955352783,2.851233720779419,3.821598529815674,4.881252288818359,5.886174201965332,6.666862487792969,7.189403533935547,7.531317234039307
635,cak_320,0.9019730237028002,,4,0.2,-39.18539102422648,0.3289982676506042,3.096010684967041,4.21165657043457,5.334052085876465,6.281490325927734,6.9476318359375,7.376708507537842,7.652919292449951,7.817329406738281
635,cak_640,1.1321212434614818,,4,0.2,-39.18539102422648,0.4939239025115967,4.242979526519775,5.416576385498047,6.364952087402344,7.009635925292969,7.416093349456787,7.670665264129639,7.814732551574707,7.879036903381348
759,adaptive_k50,,,5,0.2,-18.93721874462364,1.5733275413513184,7.352592468261719,7.665482521057129,7.838756561279297,7.939735412597656,7.977692604064941,7.980565071105957,7.980031490325928,7.980019569396973
