dataset,instance,method,ks_hat,elapsed_s,err,name,dim,codim,noise,m,shape,ks_true
sadspheres,104,orc,-0.1155395594760152,5.83,,3-Plane,3,,0.0,,Plane,0.0
sadspheres,104,laziness_knn_t5,-4.930411815643311,0.94,,3-Plane,3,,0.0,,Plane,0.0
sadspheres,104,hickock,5.721990784041528,19.88,,3-Plane,3,,0.0,,Plane,0.0
sadspheres,112,signed_orc_t8,0.1884980317195849,5.92,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,112,signed_orc_phys_t8,0.120799224463668,5.92,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,112,signed_orc_t16,0.2556024713612354,5.92,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,112,signed_orc_phys_t16,0.1039201205018636,5.92,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,112,dc_wasserstein_ollivier,0.1117644309997558,6.87,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,112,orc,-0.1301848281749689,5.56,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,112,laziness_knn_t5,-4.862754821777344,0.44,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,112,hickock,6.723130453953873,19.79,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,120,signed_orc_t8,0.0202748634317157,5.64,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,120,signed_orc_phys_t8,0.0068997978553182,5.64,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,120,signed_orc_t16,0.347218157014013,5.64,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,120,signed_orc_phys_t16,0.1154836094135675,5.64,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,120,dc_wasserstein_ollivier,-0.6329984664916992,7.24,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,120,orc,-0.1832848794567684,5.1,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,120,laziness_knn_t5,-5.510520458221436,0.35,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,120,hickock,9.594434952389946,22.01,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,128,signed_orc_t8,0.1556870530416073,6.22,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,128,signed_orc_phys_t8,0.069293124228092,6.22,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,128,signed_orc_t16,0.2137972847355341,6.22,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,128,signed_orc_phys_t16,0.0938243396352401,6.22,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,128,dc_wasserstein_ollivier,0.0290251374244689,8.19,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,128,orc,-0.1308544185464486,6.25,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,128,laziness_knn_t5,-5.255234241485596,0.65,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,128,hickock,10.260084411068275,18.13,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,136,signed_orc_t8,0.3766420058731671,5.67,,4-Sphere,4,,0.0,,Sphere,2.0
sadspheres,136,signed_orc_phys_t8,0.1106674366456722,5.67,,4-Sphere,4,,0.0,,Sphere,2.0
sadspheres,136,signed_orc_t16,0.4460231172784771,5.67,,4-Sphere,4,,0.0,,Sphere,2.0
sadspheres,136,signed_orc_phys_t16,0.1132640865363863,5.67,,4-Sphere,4,,0.0,,Sphere,2.0
sadspheres,136,dc_wasserstein_ollivier,0.3717367649078369,7.2,,4-Sphere,4,,0.0,,Sphere,2.0
sadspheres,136,orc,-0.2066120932039127,5.88,,4-Sphere,4,,0.0,,Sphere,2.0
sadspheres,136,laziness_knn_t5,-5.282892227172852,1.03,,4-Sphere,4,,0.0,,Sphere,2.0
sadspheres,136,hickock,12.079786415937413,18.75,,4-Sphere,4,,0.0,,Sphere,2.0
sadspheres,144,signed_orc_t8,0.0017336512970783,6.22,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,144,signed_orc_phys_t8,0.0005884817013065,6.22,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,144,signed_orc_t16,0.3592599290627977,6.22,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,144,signed_orc_phys_t16,0.119245779426901,6.22,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,144,dc_wasserstein_ollivier,-0.6625946760177612,7.66,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,144,orc,-0.1447742918885978,5.83,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,144,laziness_knn_t5,-5.497317314147949,0.58,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,144,hickock,9.777479639485987,18.94,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,152,signed_orc_t8,0.1191607140904275,6.35,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,152,signed_orc_phys_t8,0.0504502172886513,6.35,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,152,signed_orc_t16,0.3078978591794729,6.35,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,152,signed_orc_phys_t16,0.1289247521389294,6.35,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,152,dc_wasserstein_ollivier,-0.0563044548034668,8.01,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,152,orc,-0.1028098804369236,7.1,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,152,laziness_knn_t5,-5.300004005432129,0.62,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,152,hickock,10.316007768720493,16.99,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,160,signed_orc_t8,0.3342006237678365,5.59,,4-Sphere,4,,0.0,,Sphere,2.0
sadspheres,160,signed_orc_phys_t8,0.1071822077303563,5.59,,4-Sphere,4,,0.0,,Sphere,2.0
sadspheres,160,signed_orc_t16,0.4644039657969237,5.59,,4-Sphere,4,,0.0,,Sphere,2.0
sadspheres,160,signed_orc_phys_t16,0.1263902200830746,5.59,,4-Sphere,4,,0.0,,Sphere,2.0
sadspheres,160,dc_wasserstein_ollivier,0.3796262145042419,8.16,,4-Sphere,4,,0.0,,Sphere,2.0
