instance,n_traj,err,dim,noise,ks_true,coverage,kappa_km,kappa_km_sd,frac_km,frac_km_sd,entcak_km_t2,entcak_km_t2_sd,entcak_km_t4,entcak_km_t4_sd,entcak_km_t8,entcak_km_t8_sd
754,10,,5,0.2,-4.946768816439207,0.125,0.9839363883838091,0.0163541030761325,0.25,0.4330127018922193,0.5524957440793514,0.1902336441797728,0.7927050366997719,0.2794103680983122,1.0714777410030365,0.3904616481952728
816,10,,6,0.05,20.366556504039107,0.124,0.9944366862526158,0.006182399855497,0.0,0.0,0.3429864607751369,0.1190891112870225,0.4961626753211021,0.1353738078134019,0.7001026496291161,0.1581394892452345
878,10,,6,0.2,-31.98985941612672,0.131,0.9941581180011458,0.0025870879588972,0.0,0.0,0.1158252572640776,0.1138165750750767,0.175700232386589,0.1580831064018752,0.2571279378607869,0.2063136634195493
429,25,,3,0.01,-16.296502183721266,0.271,0.425693398903317,0.1312574885502107,0.0,0.0,1.2343180179595947,0.1776535598602034,1.6687640845775604,0.2864622793853926,2.173698753118515,0.4087410516210091
491,25,,3,0.1,-13.136520272342572,0.29,0.464620603952487,0.0641254093799415,0.28125,0.4180965050081141,1.599829688668251,0.671726077398147,2.146198198199272,0.8177150060001002,2.789998322725296,0.9212695046529316
553,25,,4,0.01,-14.479569337189464,0.274,0.8305585752679076,0.1635655754571617,0.0,0.0,1.335905060172081,0.4308980069479606,1.936377301812172,0.5900934154570111,2.59553524851799,0.732933241269095
630,25,,4,0.2,-3.558579726048665,0.288,0.6558991929248466,0.1127374801972778,0.25,0.4330127018922193,0.5587296858429909,0.1788587077415054,0.8656576871871948,0.2453097838724759,1.276837557554245,0.3186349414553909
692,25,,5,0.05,-29.278471998111137,0.266,0.9146922454319228,0.089096124259404,0.0,0.0,0.4169600419700145,0.2133972295133688,0.6086354181170464,0.2907023114664782,0.8739041239023209,0.3939982726778206
754,25,,5,0.2,-4.946768816439207,0.297,0.8820702265584226,0.0844354696440057,0.0,0.0,0.6432069316506386,0.2363322403665368,0.9445228427648544,0.3237096382014382,1.3041057586669922,0.4024751144806296
816,25,,6,0.05,20.366556504039107,0.314,0.9913778956695524,0.0060285242262912,0.0,0.0,0.4487183317542076,0.0755325778688805,0.6419822424650192,0.0996618451859311,0.8822799175977707,0.136638500800829
878,25,,6,0.2,-31.98985941612672,0.291,0.6385302036558456,0.1305065670614839,0.0,0.0,0.0853721126914024,0.0202065906156648,0.1432628873735666,0.0298682925050544,0.2322166636586189,0.0449836528844899
421,10,,3,0.01,-7.415704083686769,0.114,0.8946407599511815,0.0587097117693783,0.25,0.4330127018922193,1.503803163766861,0.4560274582828508,1.9679703414440155,0.5582880247093741,2.46909373998642,0.6779275421978156
483,10,,3,0.1,4.107036960514779,0.114,0.8863219411983931,0.0525495688524847,0.003125,0.0054126587736527,1.9128293182311609,1.1135371526512483,2.034716426865998,1.1891029890874922,2.1164007446259347,1.2390566361337216
545,10,,4,0.01,-25.421391317475663,0.134,0.9678195585344266,0.0175217904957116,0.0,0.0,0.4981068326160311,0.2907443888316091,0.7580977883189917,0.4242916098114437,1.079029317945242,0.5705601507386808
607,10,,4,0.1,-12.183740340828578,0.123,0.95498472071621,0.031691163059074,0.0,0.0,1.443183958530426,0.1069124339658249,2.016230583190918,0.1081445614342063,2.621776342391968,0.1610474351884431
669,10,,5,0.01,-18.319930087521648,0.128,0.9925240521913686,0.0043805228598344,0.0,0.0,0.5461173579096794,0.0794505457722427,0.8266652077436447,0.1001227268608452,1.1667440235614777,0.1113484483534336
731,10,,5,0.1,-18.969061686030443,0.129,0.993922143004838,0.001410182186965,0.175,0.3031088913245535,0.0766500607132911,0.0376213334903824,0.1314873341470956,0.0581150493869672,0.2185104489326477,0.0812273478510503
793,10,,6,0.01,-76.44652684559905,0.133,0.9758604423243126,0.0155086275856699,0.209375,0.2097943561562131,0.0358832170022651,0.0421239258695429,0.0609288776759058,0.0693780200663335,0.0997803695499897,0.1083215878373015
870,10,,6,0.2,-34.693294949412,0.128,0.9990537912178448,0.0008301480329845,0.0,0.0,0.2946642525494098,0.2102983525063917,0.4499869756400585,0.2883809437660934,0.6505721993744373,0.3706545803560842
430,10,,3,0.01,-16.842236690951605,0.118,0.814502578267613,0.1010001249613281,0.021875,0.0310933574095818,1.2799609154462814,0.5361580185112516,1.566674292087555,0.6475020708692066,1.8426679819822311,0.7677717041181614
492,10,,3,0.1,0.3353985029380055,0.126,0.9487699367727234,0.0256197901028416,0.028125,0.0487139289628746,1.0398996621370316,0.3992925333895065,1.4319507479667664,0.4525702332124459,1.859586477279663,0.4852134117820612
554,10,,4,0.01,-4.503402761482203,0.128,0.9957326896873542,0.0050681371843568,0.0,0.0,1.0745467245578766,0.0532085856180599,1.2340621948242188,0.0796068044688252,1.367004781961441,0.1369416085217494
631,10,,4,0.2,9.496456875600702,0.127,0.9919649897039122,0.0055413075398601,0.084375,0.146141786888624,0.4209441840648651,0.1192323514284823,0.6722847446799278,0.1862461689225056,1.0130274444818497,0.270778157823654
693,10,,5,0.05,-16.703636368602854,0.132,0.9920394362119414,0.0088670372589497,0.096875,0.099363206847404,0.2683581858873367,0.0997374946797573,0.4120557829737663,0.1271485691099177,0.5941471084952354,0.1393720206626551
755,10,,5,0.2,-34.37732560792047,0.13,0.9834064963296314,0.0094117784428891,0.0,0.0,0.3682364448904991,0.1945633092678502,0.5995077230036259,0.3034310471910676,0.9289387091994286,0.4459030074279806
817,10,,6,0.05,-12.910662028844692,0.128,0.9922823958956314,0.01033005353159,0.0,0.0,0.3926078267395496,0.2735363392833601,0.603233203291893,0.3909761890106296,0.8855278193950653,0.5295844983993446
879,10,,6,0.2,-34.01810499140309,0.126,0.9995398813529792,0.0003846327530516,0.0,0.0,0.0554183507338166,0.0120360733041769,0.0983029659837484,0.0204338135986385,0.1711101680994033,0.0333435485939863
430,25,,3,0.01,-16.842236690951605,0.276,0.473142535450675,0.0338349942234785,0.3625,0.3559757716474535,1.3646284209098667,0.8543890606069565,1.7065545096993446,1.0408935437115645,2.0555206825956702,1.2323440149799147
492,25,,3,0.1,0.3353985029380055,0.274,0.7703436649869484,0.0801547170467586,0.0,0.0,1.568481981754303,0.4080231707025142,2.020193576812744,0.442567375996496,2.491839349269867,0.4538200582911243
554,25,,4,0.01,-4.503402761482203,0.269,0.7593336327741425,0.1441346040128767,0.2625,0.4262848226244983,1.1173700839281082,0.2962329228857719,1.563231140375137,0.3529395250852093,2.0732901990413666,0.3966390798441684
631,25,,4,0.2,9.496456875600702,0.289,0.6986010118678987,0.1865277654818307,0.146875,0.2543949623616788,0.490806870162487,0.1088223524559241,0.7823910117149353,0.1535817309767643,1.1990026086568832,0.1878579348453692
693,25,,5,0.05,-16.703636368602854,0.28,0.9119829412868448,0.0727667905549535,0.0,0.0,0.2114748749881982,0.1223546462441956,0.3496086336672306,0.1891581219659571,0.555741012096405,0.2744107267723243
755,25,,5,0.2,-34.37732560792047,0.278,0.941620809694244,0.0346552224871062,0.0,0.0,1.3701060116291046,0.3503186022093382,1.9491010010242464,0.4504204064864145,2.561655938625336,0.4933948681706404
817,25,,6,0.05,-12.910662028844692,0.308,0.9855685869249708,0.0129778132065236,0.0,0.0,0.9575620293617249,0.2494677583648303,1.4263822734355929,0.315865401498372,1.9916917085647583,0.3584077487637466
879,25,,6,0.2,-34.01810499140309,0.31,0.9300394750972504,0.0390040289394292,0.10625,0.1840303983041932,0.2625874411314726,0.122875954975553,0.4305959083139896,0.19876691870747,0.6773581728339195,0.3092132647140778
431,10,,3,0.01,14.164580864957042,0.115,0.7828604054451428,0.0890373943822858,0.109375,0.1493148414425036,0.9692426882684232,0.4968236356814211,1.2232710346579552,0.5875905549719466,1.4984151646494863,0.6748620434819768
