instance,n_traj,err,name,dim,noise,ks_true,coverage,n_visited,eval_dist,kappa_plus,frac,ent_cak_t2,ent_cak_t4,ent_cak_t8
853,250,,d6-c1-n0.1-m13,6,0.1,-28.91830997833552,0.96,2880,0.0,-0.3234456955965607,1.0,5.264434337615967,6.429466247558594,7.165778636932373
881,100,,d6-c1-n0.2-m11,6,0.2,-26.701955637154743,0.767,2300,0.0,-0.4166244015365724,1.0,4.766078948974609,5.845484256744385,6.606588840484619
302,50,,d2-c1-n0.01-m2,2,0.01,2.435305785100224,0.412,1236,0.1548,0.4422629964103917,0.0125,4.492786407470703,5.0016703605651855,5.564503192901611
330,25,,d2-c1-n0.05-m0,2,0.05,0.1641133119551789,0.246,738,0.0,0.1090918510970165,0.0,4.510105133056641,4.905546188354492,5.2567138671875
343,10,,d2-c1-n0.05-m13,2,0.05,-4.378023159484492,0.116,347,0.2764,0.8505757475591029,0.0,2.6837756633758545,3.030478000640869,3.481174230575561
370,250,,d2-c1-n0.1-m10,2,0.1,-7.72404280863429,0.944,2832,0.0,0.0747104626246951,0.025,5.637270450592041,6.3820977210998535,7.008651256561279
398,100,,d2-c1-n0.2-m8,2,0.2,-3.912962490843667,0.693,2080,0.0354,-0.1092936433177827,0.0625,4.908701419830322,5.740370750427246,6.4740800857543945
426,50,,d3-c1-n0.01-m6,3,0.01,-3.8235642778157457,0.474,1421,0.0,0.0945620377308044,0.8375,4.519186019897461,5.5110063552856445,6.375352382659912
454,25,,d3-c1-n0.05-m4,3,0.05,-4.99685320061184,0.25,750,0.334,0.3151255201235603,0.0,3.895024061203003,4.2925705909729,4.578532695770264
482,10,,d3-c1-n0.1-m2,3,0.1,-3.557038532205605,0.12,359,0.3838,0.292471462120498,0.1,3.2005157470703125,3.841788530349731,4.385546684265137
494,250,,d3-c1-n0.1-m14,3,0.1,-1.6689192913019415,0.94,2820,0.0,-0.0975529385896067,0.4125,5.440280437469482,6.411946296691895,7.150094509124756
522,100,,d3-c1-n0.2-m12,3,0.2,-18.867196080469053,0.721,2162,0.0,-0.2846122042473187,0.0,5.405787944793701,6.08971118927002,6.550461769104004
550,50,,d4-c1-n0.01-m10,4,0.01,78.43052538097425,0.459,1376,0.201,0.4586993671007272,0.0,3.865612745285034,4.784809112548828,5.547811031341553
578,25,,d4-c1-n0.05-m8,4,0.05,-22.05882557409797,0.273,819,0.0,-0.0723485203956185,1.0,3.973011016845703,4.836441993713379,5.605117321014404
606,10,,d4-c1-n0.1-m6,4,0.1,-27.860036231503933,0.127,381,0.467,0.5916764515759925,0.05,3.0858960151672363,3.659210205078125,4.148261547088623
633,250,,d4-c1-n0.2-m3,4,0.2,-15.94121826097334,0.952,2856,0.0,-0.1213828183322103,0.55,5.615845680236816,6.601829528808594,7.2251434326171875
