seed,T,N,gamma,mean_kl,pearson_entropy_vs_ks,spearman_entropy_vs_ks,pearson_entropy_hat_vs_real,err
2,50,10,0.2,6.418198846390528,-0.04527012825166325,-0.028497457124364283,0.013637677972805774,
2,50,10,0.5,4.901306652477049,-0.03999973390267096,-0.03782446995611749,0.024207834447475103,
2,50,10,0.8,3.5021518801134457,-0.037281657047724806,-0.039173612293403076,0.03959889301981727,
2,50,10,0.9,2.7821946941529165,-0.03696382683117842,-0.03060910965227741,0.05163784521690247,
2,50,20,0.2,6.0911125125612715,-0.03073366053755712,-0.09110548827637206,0.008405784912532644,
2,50,20,0.5,4.878614416849023,-0.027795760109935168,-0.0653727208431802,0.008998655546683504,
2,50,20,0.8,3.46693761868779,-0.022642262334952035,-0.05325224981306245,0.012959690633253688,
2,50,20,0.9,2.675747024011533,-0.021229172247242228,-0.0493220328305082,0.01638365585759993,
2,50,50,0.2,5.984764869309385,-0.04136639409646445,-0.05891476922869231,-0.017362031283400785,
2,50,50,0.5,4.782668957712323,-0.04867684787955599,-0.06501427175356794,-0.01043425751875967,
2,50,50,0.8,3.3913302398628358,-0.04766058527232425,-0.061679527919881974,0.005922783003240524,
2,50,50,0.9,2.6053070454813567,-0.04651657398937172,-0.06024123006030752,0.023429715862891012,
2,50,100,0.2,5.98626214935637,-0.03706523052111929,-0.055495929373982344,-0.017621804372167836,
2,50,100,0.5,4.7785311310056855,-0.041546628640775095,-0.057900729975182495,-0.016724867790321202,
2,50,100,0.8,3.388865166172191,-0.044844912687290746,-0.059743343935835976,-0.014103237850713723,
2,50,100,0.9,2.612691313241321,-0.04190844255636397,-0.05582101245525311,-0.005191811749235457,
