seed,T,N,gamma,temperature,mean_kl,pearson_entropy_vs_ks,spearman_entropy_vs_ks,pearson_entropy_hat_vs_real,err
0,20,50,0.9,0.5,11.122484670560336,0.29419994927027804,0.35578138032876305,0.151832478235238,
0,20,50,0.9,1.0,7.827010223376312,0.2739820256245078,0.3368790505960923,0.15406077972094592,
0,20,50,0.9,2.0,4.411643432093035,0.15483307711618663,0.1857751064437766,0.08401383065912135,
0,20,50,0.9,5.0,1.1395077070082233,-0.2126629564937964,-0.2610455791092869,-0.14496587260916843,
0,20,100,0.2,0.1,2.727891470662527,0.3914423936455278,0.45357929939482483,0.1047601161782735,
0,20,100,0.2,0.3,1.937473953122271,0.38715204026108974,0.4637692699423174,0.16019592873629532,
0,20,100,0.2,0.5,1.9235175971819651,0.33431006856912604,0.4114601245193287,0.17352715898115503,
0,20,100,0.2,1.0,2.1659896650575647,0.17872569973719876,0.22291152256147248,0.10297852767502653,
0,20,100,0.2,2.0,2.6302035917614894,-0.12070931196495117,-0.12872376537402697,-0.09311554408140324,
0,20,100,0.2,5.0,3.796077517081941,-0.2216800025740086,-0.31018603927914934,-0.1231221163046193,
0,20,100,0.5,0.1,7.136634094274407,0.35244304051294223,0.4155066753766688,0.022852154304741207,
0,20,100,0.5,0.3,3.7588046796041055,0.40266463389886265,0.472085263948348,0.05859862306286599,
0,20,100,0.5,0.5,2.6472305570161243,0.3882662414771064,0.4582991705747926,0.09908712659536817,
0,20,100,0.5,1.0,1.726980782770079,0.29714120107912734,0.35778924844731214,0.14224238243887305,
0,20,100,0.5,2.0,1.4466809657802824,0.07561325998606178,0.08267051444863006,0.09498345434600829,
0,20,100,0.5,5.0,1.8917825562772634,-0.20325971022958256,-0.3340591857653408,-0.07867769190064455,
0,20,100,0.8,0.1,14.8997117721945,0.26272744172661966,0.29259446514861626,0.06973830538416292,
0,20,100,0.8,0.3,10.724712277815367,0.3428936498901183,0.39254498913624725,0.10220528366424592,
0,20,100,0.8,0.5,8.49359004034967,0.37175630029113926,0.42581882695470674,0.12537893834716152,
0,20,100,0.8,1.0,5.544238453182599,0.3690595429865815,0.42133933683483415,0.16140807905682716,
0,20,100,0.8,2.0,3.0036836837464453,0.26473165314815017,0.30036689420436113,0.17500915322474891,
0,20,100,0.8,5.0,1.0111970232513852,-0.0976602162594609,-0.13140231519913054,0.06389264311602114,
0,20,100,0.9,0.1,17.894895889100493,0.21911492844332459,0.23852198063049512,0.12284461566139429,
0,20,100,0.9,0.3,14.724973481350414,0.31155653946198436,0.3493634148408537,0.18400634905093316,
0,20,100,0.9,0.5,12.780663723123387,0.3554863276699418,0.39744325236081307,0.21739633643873826,
0,20,100,0.9,1.0,9.764750384229748,0.3838797408487328,0.43279131469782867,0.2530517663671821,
0,20,100,0.9,2.0,6.489424305045566,0.3223510005583884,0.36351790451579535,0.24174522300292284,
0,20,100,0.9,5.0,2.1903964265315112,0.009475691874504947,0.009865141723684287,0.09068390116928632,
0,50,10,0.2,0.1,5.214448095182799,0.208546662880021,0.23888115730986975,0.11719535311905328,
