anchor,mix_ent,V,absorbed,dim,dataset,seed,ks_true
1947,0.9837473,1.520432633231711,1.0,3,saddle,1,-8.0
1867,0.55537945,1.5654489072304154,1.0,3,saddle,1,-8.0
1274,0.11255723,0.8424253352144517,1.0,3,saddle,1,-8.0
1086,0.050688576,0.6755290408159578,1.0,3,saddle,1,-8.0
1714,0.26037443,1.3463267889953023,1.0,3,saddle,1,-8.0
1484,0.76942444,1.7389624982678653,1.0,3,saddle,1,-8.0
601,0.04123428,0.38692005433468096,1.0,3,saddle,1,-8.0
926,0.96021956,1.4032051101882772,1.0000001,3,saddle,1,-8.0
80,0.66416097,0.9281203089051493,0.99999994,3,saddle,2,-8.0
1644,0.20262593,0.800342835842706,0.99999994,3,saddle,2,-8.0
1602,1.4797609,1.7951611751545342,1.0,3,saddle,2,-8.0
514,0.6172465,1.1840843981768048,1.0,3,saddle,2,-8.0
606,0.21887302,0.9922236658316723,1.0,3,saddle,2,-8.0
1864,1.2316214,1.3756902976032142,0.99999994,3,saddle,2,-8.0
298,1.2934415,1.4206093614570001,1.0,3,saddle,2,-8.0
437,1.2166812,1.6686960074791855,1.0,3,saddle,2,-8.0
760,0.7784057,1.428117125941131,1.0,3,saddle,2,-8.0
815,0.39353383,0.9246816037869976,1.0,3,saddle,2,-8.0
1880,0.06470374,0.5371118109881401,1.0,3,saddle,2,-8.0
181,0.36159194,0.7774805105923082,0.99999994,3,saddle,2,-8.0
1439,1.4381473,1.693027977255196,1.0,3,saddle,2,-8.0
1929,0.98143125,1.4039808540113832,1.0,3,saddle,2,-8.0
1116,0.32825395,1.3178184786255873,1.0,3,saddle,2,-8.0
1366,0.8212134,1.1395434234857698,1.0,3,saddle,2,-8.0
109,0.16840093,0.425750470158848,1.0000001,3,saddle,2,-8.0
660,0.14032075,0.5373550592681582,1.0,3,saddle,2,-8.0
587,0.24284226,0.9317506044152027,1.0,3,saddle,2,-8.0
1304,1.4153508,1.6291280233084129,1.0000001,3,saddle,2,-8.0
784,0.47485363,0.8248611627663055,1.0000001,3,saddle,2,-8.0
1605,0.87355185,2.0551140347745163,1.0,3,saddle,2,-8.0
215,0.030648068,0.49015496286600113,1.0,3,saddle,2,-8.0
1105,0.49303705,1.7745030699523479,1.0,3,saddle,2,-8.0
544,1.0743582,1.5371305824545192,0.99999994,3,saddle,2,-8.0
1739,0.17291081,0.8244954143737997,0.99999994,3,saddle,2,-8.0
1958,0.13072526,1.0692816581772704,1.0,3,saddle,2,-8.0
889,0.27760115,0.7104544854711394,1.0,3,saddle,2,-8.0
1351,0.061213706,0.66169905891337,1.0000001,3,saddle,2,-8.0
1333,0.6968023,0.7030405034414267,1.0,3,saddle,2,-8.0
1183,0.86832434,1.6822987302746284,0.99999994,3,saddle,2,-8.0
1733,1.1259087,1.5517639774980887,1.0,3,saddle,2,-8.0
861,0.78953314,1.2533691788411183,1.0,3,saddle,2,-8.0
843,1.0718778,1.1810689450279952,1.0,3,saddle,2,-8.0
1264,0.19497783,1.0817464939003476,1.0,3,saddle,2,-8.0
1490,0.2127184,0.7708919080096508,1.0,3,saddle,2,-8.0
399,1.2806935,1.2009678009582982,1.0,3,saddle,2,-8.0
516,0.53196657,1.549335177821738,1.0,3,saddle,2,-8.0
375,0.030365257,0.5491691393952425,1.0000001,3,saddle,2,-8.0
371,0.39008853,1.0619435924629936,1.0,3,saddle,2,-8.0
1760,0.78305495,1.3526282086474157,0.99999994,3,saddle,3,-8.0
1452,1.4520632,1.7661804203120048,1.0,3,saddle,3,-8.0
78,0.27803996,1.039057125933693,0.99999994,3,saddle,3,-8.0
945,0.1322293,0.6833478766459734,1.0,3,saddle,3,-8.0
466,0.035685822,0.9218652903538012,1.0,3,saddle,3,-8.0
896,0.72074103,0.7492499586303143,1.0,3,saddle,3,-8.0
833,0.9788075,1.5972914612184885,0.99999994,3,saddle,3,-8.0
343,0.0700246,0.27678927369585093,1.0,3,saddle,3,-8.0
775,1.4567269,1.885022827797315,1.0,3,saddle,3,-8.0
1505,0.2505123,0.7600952547053708,1.0000001,3,saddle,3,-8.0
586,1.7100074,1.671406040809365,1.0,3,saddle,3,-8.0
1026,0.7495491,1.361863792532517,0.99999994,3,saddle,3,-8.0
1324,0.15612683,0.3815238776631075,1.0,3,saddle,3,-8.0
64,0.70300436,1.3782172127151422,1.0,3,saddle,3,-8.0
315,0.2271313,0.4080852650019722,1.0,3,saddle,3,-8.0
185,1.0079371,2.257332538316083,0.99999994,3,saddle,3,-8.0
1905,0.7906242,1.9469413330251417,1.0000001,3,saddle,3,-8.0
855,0.8922212,1.2916788198628142,0.99999994,3,saddle,3,-8.0
1145,0.3891108,0.59035125749986,1.0,3,saddle,3,-8.0
1565,0.5980107,1.1585956244586257,1.0,3,saddle,3,-8.0
523,0.24390073,1.7668170020778846,0.99999994,3,saddle,3,-8.0
1573,0.16628742,1.279994422681213,1.0000001,3,saddle,3,-8.0
1736,0.689309,1.0941606480624386,1.0,3,saddle,3,-8.0
853,0.9903795,1.2092789639057746,1.0,3,saddle,3,-8.0
1467,0.87164426,1.2749468570917037,1.0000001,3,saddle,3,-8.0
1294,1.4053792,1.5073757477637801,0.99999994,3,saddle,3,-8.0
1226,0.67812973,1.0524587960058178,1.0,3,saddle,3,-8.0
1708,0.10745987,1.2219414007029337,1.0,3,saddle,3,-8.0
1366,0.23618224,0.6678244874414383,1.0,3,saddle,3,-8.0
224,0.8462752,2.083600395634791,1.0,3,saddle,3,-8.0
1166,0.63924366,1.2941173555559224,1.0000001,3,saddle,3,-8.0
168,1.2324834,1.3160399869042478,1.0,3,saddle,3,-8.0
639,0.7101216,0.9639143818176359,1.0,3,saddle,3,-8.0
357,0.34603512,1.3086048825194057,1.0,3,saddle,3,-8.0
655,0.26740238,1.449755229506483,0.99999994,3,saddle,3,-8.0
568,1.3584715,1.5806641754827866,1.0,3,saddle,3,-8.0
1298,0.7715312,1.4553046935683729,1.0000001,3,saddle,3,-8.0
353,0.63965416,1.2423480742497262,1.0,3,saddle,3,-8.0
1589,0.44401368,0.9166380816751591,1.0,3,saddle,3,-8.0
1390,0.5694982,1.1648975624946611,1.0,3,saddle,3,-8.0
906,0.20048395,0.8870492190437309,1.0,4,plane,1,0.0
544,0.61074865,1.0654480791867935,1.0,4,plane,1,0.0
769,0.6833671,1.4342266014154825,1.0,4,plane,1,0.0
903,0.79936934,1.4005407213421321,1.0,4,plane,1,0.0
248,1.052461,1.75457004049611,1.0000001,4,plane,1,0.0
838,0.2985432,0.9115566039501011,1.0,4,plane,1,0.0
530,0.534793,1.32447246643545,1.0,4,plane,1,0.0
1662,0.97292775,1.5786789548445934,0.99999994,4,plane,1,0.0
54,0.5114238,0.9892935616037686,0.99999994,4,plane,1,0.0
246,0.073211454,0.46394032056605417,1.0,4,plane,1,0.0
1634,0.4916049,1.285748744066166,1.0,4,plane,1,0.0
69,1.2827046,1.464488789987404,1.0,4,plane,1,0.0
1805,0.0067016743,0.13809037452051398,1.0,4,plane,1,0.0
812,0.55455095,1.350258988816306,1.0000001,4,plane,1,0.0
169,0.19103394,1.1768062194375863,1.0,4,plane,1,0.0
659,0.9447321,1.3529735922707429,1.0,4,plane,1,0.0
