n_trajectories,manifold,tau,ks_hat_mean,ks_true,n_visited,err
40,5,0.5,-6.149519306932857,-1.4499377757973766,1002,
40,6,0.2,-5.9162737224413,-13.507217146494897,920,
40,6,0.3,-6.091330001146897,-13.507217146494897,920,
40,6,0.5,-6.315725825662199,-13.507217146494897,920,
40,7,0.2,-5.575576653211157,1.344101513481964,1009,
40,7,0.3,-5.741549539140714,1.344101513481964,1009,
40,7,0.5,-5.9456018924240555,1.344101513481964,1009,
40,8,0.2,-5.97185467622562,8.476333094564682,998,
40,8,0.3,-6.1267365654389225,8.476333094564682,998,
40,8,0.5,-6.319286615432862,8.476333094564682,998,
40,9,0.2,-5.553360448448482,-1.0306529025359887,937,
40,9,0.3,-5.74644379987279,-1.0306529025359887,937,
40,9,0.5,-5.9870091665261835,-1.0306529025359887,937,
40,10,0.2,-5.803845788775681,8.175660436251281,1049,
40,10,0.3,-5.992363910202303,8.175660436251281,1049,
40,10,0.5,-6.228463718388851,8.175660436251281,1049,
40,11,0.2,-5.506809150558157,14.726218324067672,970,
40,11,0.3,-5.704218440203323,14.726218324067672,970,
40,11,0.5,-5.951628863442805,14.726218324067672,970,
40,12,0.2,-5.946069483663521,-1.842235872735504,918,
40,12,0.3,-6.090857999776703,-1.842235872735504,918,
40,12,0.5,-6.2562555700605476,-1.842235872735504,918,
40,13,0.2,-6.07006516036592,6.623965019732538,965,
40,13,0.3,-6.2175774193798325,6.623965019732538,965,
40,13,0.5,-6.399305695943882,6.623965019732538,965,
40,14,0.2,-5.531200531974854,-2.71842316244986,996,
40,14,0.3,-5.732357528315012,-2.71842316244986,996,
40,14,0.5,-5.985697105227704,-2.71842316244986,996,
40,15,0.2,-6.07739801207138,-5.040171363309043,955,
40,15,0.3,-6.2371459666347,-5.040171363309043,955,
40,15,0.5,-6.435477329673567,-5.040171363309043,955,
40,16,0.2,-5.551721162405334,-0.42067983431734857,952,
40,16,0.3,-5.749981363030041,-0.42067983431734857,952,
40,16,0.5,-6.002368528301976,-0.42067983431734857,952,
40,17,0.2,-6.146954933396398,-3.8680885251115953,979,
40,17,0.3,-6.2996795058128665,-3.8680885251115953,979,
40,17,0.5,-6.489585168271557,-3.8680885251115953,979,
40,18,0.2,-5.855904612721515,-0.45945178926591107,952,
40,18,0.3,-6.0285289012083485,-0.45945178926591107,952,
40,18,0.5,-6.239275477513545,-0.45945178926591107,952,
40,19,0.2,-5.73241439506961,3.3638746890594096,922,
40,19,0.3,-5.915555120290231,3.3638746890594096,922,
40,19,0.5,-6.144949796660086,3.3638746890594096,922,
60,0,0.2,-5.26046173641512,-4.590010406490113,1279,
60,0,0.3,-5.450266767237874,-4.590010406490113,1279,
60,0,0.5,-5.687271576733027,-4.590010406490113,1279,
60,1,0.2,-5.887834500213772,13.603673931000143,1223,
60,1,0.3,-6.065728631647318,13.603673931000143,1223,
60,1,0.5,-6.2872326582645846,13.603673931000143,1223,
60,2,0.2,-6.013988769322729,13.891764839771986,1244,
60,2,0.3,-6.191316066447562,13.891764839771986,1244,
60,2,0.5,-6.405419105502187,13.891764839771986,1244,
60,3,0.2,-5.7838229459787724,2.573541816232177,1289,
60,3,0.3,-5.962317306187099,2.573541816232177,1289,
60,3,0.5,-6.18314486570928,2.573541816232177,1289,
60,4,0.2,-6.182104970441375,-2.5507815394602606,1279,
60,4,0.3,-6.346269831236123,-2.5507815394602606,1279,
60,4,0.5,-6.5336166498155865,-2.5507815394602606,1279,
60,5,0.2,-6.230367164006309,-1.4499377757973766,1260,
60,5,0.3,-6.377954884937831,-1.4499377757973766,1260,
60,5,0.5,-6.547676415670486,-1.4499377757973766,1260,
60,6,0.2,-5.401836477262564,-13.507217146494897,1227,
60,6,0.3,-5.582895904609413,-13.507217146494897,1227,
60,6,0.5,-5.809427444392719,-13.507217146494897,1227,
60,7,0.2,-5.750409735796106,1.344101513481964,1310,
60,7,0.3,-5.917110337737863,1.344101513481964,1310,
60,7,0.5,-6.123787689208984,1.344101513481964,1310,
60,8,0.2,-6.055866874790655,8.476333094564682,1234,
60,8,0.3,-6.214864649301217,8.476333094564682,1234,
60,8,0.5,-6.405400786639419,8.476333094564682,1234,
60,9,0.2,-6.0362110940777525,-1.0306529025359887,1176,
60,9,0.3,-6.1847547276490396,-1.0306529025359887,1176,
60,9,0.5,-6.3698210545948575,-1.0306529025359887,1176,
60,10,0.2,-5.414952630408375,8.175660436251281,1313,
60,10,0.3,-5.6072146819914375,8.175660436251281,1313,
60,10,0.5,-5.848846873162088,8.175660436251281,1313,
60,11,0.2,-5.54729322862776,14.726218324067672,1264,
60,11,0.3,-5.7277130961795395,14.726218324067672,1264,
60,11,0.5,-5.953649743636952,14.726218324067672,1264,
60,12,0.2,-5.560154816157977,-1.842235872735504,1174,
