dataset,method,n_samples,n_trajectories,instance,name,ks_hat_mean,ks_hat_std,ks_true_scalar,label
sadspheres,laziness_knn_t5,500,500,2,2-Saddle-1,-4.006408358097077,0.2427019303498636,-8.0,0.0
sadspheres,laziness_knn_t10,500,500,2,2-Saddle-1,-4.546790664196014,0.28472204533598827,-8.0,0.0
sadspheres,laziness_adaptive_t5,500,500,2,2-Saddle-1,-3.969748697757721,0.23698498619757616,-8.0,0.0
sadspheres,successor_entropy,500,500,2,2-Saddle-1,-5.483536630630494,0.2029001392860612,-8.0,0.0
sadspheres,successor_orc,500,500,2,2-Saddle-1,-4.816819093687317,21.45667865949197,-8.0,0.0
sadspheres,laziness_knn_t3,500,500,3,2-Sphere-1,-3.642310067653656,0.13909608009318,2.0,1.0
sadspheres,laziness_knn_t5,500,500,3,2-Sphere-1,-4.096560530185699,0.14387790799428457,2.0,1.0
sadspheres,laziness_knn_t10,500,500,3,2-Sphere-1,-4.703832557678223,0.12156948151760855,2.0,1.0
sadspheres,laziness_adaptive_t5,500,500,3,2-Sphere-1,-4.062920992851257,0.14218025246864,2.0,1.0
sadspheres,successor_entropy,500,500,3,2-Sphere-1,-5.626109382629394,0.17241425598344742,2.0,1.0
sadspheres,successor_orc,500,500,3,2-Sphere-1,-11.261978253250778,77.09393741795604,2.0,1.0
sadspheres,laziness_knn_t3,500,500,4,2-Saddle-2,-3.555834304332733,0.23176376709560792,-8.0,0.0
sadspheres,laziness_knn_t5,500,500,4,2-Saddle-2,-3.9690467357635497,0.2751559093818929,-8.0,0.0
sadspheres,laziness_knn_t10,500,500,4,2-Saddle-2,-4.513432670593262,0.3090911413408759,-8.0,0.0
sadspheres,laziness_adaptive_t5,500,500,4,2-Saddle-2,-3.9268458824157717,0.27469354229321424,-8.0,0.0
sadspheres,successor_entropy,500,500,4,2-Saddle-2,-5.413920317649842,0.15145068792094307,-8.0,0.0
sadspheres,successor_orc,500,500,4,2-Saddle-2,-8.768993953849554,63.54759054739039,-8.0,0.0
sadspheres,laziness_knn_t3,500,500,5,2-Sphere-2,-3.6178609709739686,0.1382763066438956,2.0,1.0
sadspheres,laziness_knn_t5,500,500,5,2-Sphere-2,-4.06641898393631,0.13959376560865325,2.0,1.0
sadspheres,laziness_knn_t10,500,500,5,2-Sphere-2,-4.662119817733765,0.11880887127658775,2.0,1.0
sadspheres,laziness_adaptive_t5,500,500,5,2-Sphere-2,-4.034635183334351,0.13836230815820189,2.0,1.0
sadspheres,successor_entropy,500,500,5,2-Sphere-2,-5.641858750343323,0.1676803345114833,2.0,1.0
sadspheres,successor_orc,500,500,5,2-Sphere-2,-3.107422729823558,8.27598185405628,2.0,1.0
sadspheres,laziness_knn_t3,500,500,6,2-Saddle-3,-3.5574985437393187,0.201793511677266,-8.0,0.0
sadspheres,laziness_knn_t5,500,500,6,2-Saddle-3,-3.964541510105133,0.22907514935140486,-8.0,0.0
sadspheres,laziness_knn_t10,500,500,6,2-Saddle-3,-4.506791490077973,0.2515528840086565,-8.0,0.0
sadspheres,laziness_adaptive_t5,500,500,6,2-Saddle-3,-3.923793364048004,0.2219173840933,-8.0,0.0
sadspheres,successor_entropy,500,500,6,2-Saddle-3,-5.364006056785583,0.10511754883365308,-8.0,0.0
sadspheres,successor_orc,500,500,6,2-Saddle-3,-9.96392684717655,57.78454864987091,-8.0,0.0
sadspheres,laziness_knn_t3,500,500,7,2-Sphere-3,-3.6204838671684265,0.14637630738974344,2.0,1.0
sadspheres,laziness_knn_t5,500,500,7,2-Sphere-3,-4.069079572677612,0.1531458831492068,2.0,1.0
sadspheres,laziness_knn_t10,500,500,7,2-Sphere-3,-4.671443105697632,0.1362097062707737,2.0,1.0
sadspheres,laziness_adaptive_t5,500,500,7,2-Sphere-3,-4.03666507101059,0.14951642977789517,2.0,1.0
sadspheres,successor_entropy,500,500,7,2-Sphere-3,-5.726521723747253,0.13812221101305552,2.0,1.0
sadspheres,successor_orc,500,500,7,2-Sphere-3,-3.7002545250091248,12.5687606247391,2.0,1.0
