instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,ent_k10_t8,frac,ent_cak_t2,ent_cak_t4,ent_cak_t8,mu_kappa_plus,mu_frac,mu_ent_cak_t2,mu_ent_cak_t4,mu_ent_cak_t8,mu_ent_k10_t8,sd_kappa_plus,sd_frac,sd_ent_cak_t2,sd_ent_cak_t4,sd_ent_cak_t8,sd_ent_k10_t8,z_plus,z_frac,S_diff,z_ent_cak_t2,z_ent_cak_t4,z_ent_cak_t8,z_ent_k10_t8
1,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.0982791307180332,6.054836273193359,0.0,5.202676296234131,5.8716559410095215,6.486339092254639,-0.005977246090684373,0.004166666666666667,5.554142173131307,6.235423787434896,6.894546667734782,6.057370313008627,0.02826436714094643,0.016522363806281668,0.040929649721457885,0.03289857433223674,0.029810251911173844,0.045198629542724834,3.6886152903696874,-0.2521834475695623,3.9407987379392497,8.58707267931775,11.057252595560795,13.693529886848562,0.05606452763953814
65,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,-0.0969654054678941,7.522165775299072,1.0,5.358112335205078,6.306171417236328,7.110745429992676,-0.01156080209928355,0.995,5.434345213572184,6.404733546574911,7.156411075592041,7.531568145751953,0.03955325840848126,0.010170952554312156,0.06387082745426148,0.05468925343203854,0.034520419848644124,0.0071425432580279075,-2.159230536372133,0.49159604012508795,-2.650826576497221,1.193547686879387,1.8022211522975782,1.3228589281239354,1.3163897106696063
129,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,0.0494873930450641,7.588633060455322,1.0,5.386165618896484,6.358570098876953,7.070816040039063,0.10307559745691662,0.9845833333333334,5.30994356473287,6.46229141553243,7.21294272740682,7.586440722147624,0.0729677896994548,0.019332429130659076,0.08446397637178647,0.06856427125874077,0.03581073107540687,0.0023746510630121634,-0.7344090403803599,0.7974510891762443,-1.531860129556604,-0.9024208596112813,1.5127604326758513,3.9688295407451943,-0.9232254548242409
193,sadspheres,,5-Sphere,5,0.0,,Sphere,2.0,2000,0.4834747839331338,7.600764751434326,0.0,3.352715253829956,4.525012493133545,5.729124546051025,0.2888645288180819,1.0,5.063860813776652,6.3532570997873945,7.1658700466156,7.598183250427246,0.036398824889933575,0.0,0.10396287479072916,0.06817385130575644,0.036124001539504395,0.0002671239359308475,5.346608185938254,-1000.0,1005.3466081859383,16.45919818388176,26.817387776058897,39.77260102243608,-9.66405724026441
257,sadspheres,,6-Plane,6,0.0,,Plane,0.0,2000,0.4353201913893124,7.600192546844482,1.0,4.748094081878662,6.112340450286865,6.983548164367676,0.4403097779431379,1.0,4.690694284439087,6.054225317637125,6.990317519505819,7.600260670979818,0.03220084053120525,0.0,0.09056825213543589,0.07265949273243807,0.052477074776090066,5.6241520468225686e-05,-0.1549520593721836,0.0,-0.1549520593721836,-0.6337739338696664,-0.7998284940378493,0.12899642685928517,1.2112783361539958
336,colosseum,,d2-c1-n0.05-m6,2,0.05,6.0,,-2.880567788146728,3000,0.013599277420896,6.428268432617188,0.0,5.6282219886779785,6.317062377929688,6.881663799285889,0.00745966836540488,0.0175,5.415722751617432,6.086958805720012,6.77007695833842,6.0572700023651125,0.029911808688745024,0.07424911470504386,0.06294747339509821,0.05230456272326661,0.03713879198477605,0.05890919580639425,0.2052570314078427,-0.2356930458971681,0.4409500773050108,-3.375818370449386,-4.3993020920012365,-3.0045899444766726,-6.2978016449480405
460,colosseum,,d3-c1-n0.05-m10,3,0.05,10.0,,-13.787515224982826,3000,-0.0252411607504266,7.621217250823975,0.7375,5.7959818840026855,6.6852898597717285,7.258459568023682,-0.13339043664545883,0.9383333333333332,5.272492535909017,6.271948083241781,7.196819416681925,7.822046756744385,0.05156161832448258,0.051688445539586986,0.08606897455713512,0.06582261181940272,0.048578961974909796,0.01878286628091085,2.0974763672939374,-3.885458949999175,5.982935317293112,-6.082207331820371,-6.279631954806539,-1.268865139061487,10.692165025127954
584,colosseum,,d4-c1-n0.05-m14,4,0.05,14.0,,-18.85016105524571,3000,0.0736520546181205,7.911407470703125,0.3875,5.34182596206665,6.418430328369141,7.219161510467529,-0.09327934569536739,0.98125,5.135085566838582,6.379115883509318,7.358068799972534,7.987826379140218,0.10507114599649368,0.029680409770384428,0.0908633234910468,0.08139604700834609,0.05317567186980149,0.004317434154063882,1.5887463559125787,-20.004777716797324,21.593524072709904,-2.2752898230542833,-0.48300189388548137,2.6122338396609917,17.70007502376428
723,colosseum,,d5-c1-n0.1-m3,5,0.1,3.0,,-39.1042194433172,3000,-0.2334335458607342,7.992717742919922,1.0,5.174195766448975,6.412625789642334,7.201947212219238,0.15121377023799723,1.0,4.823663822809855,6.243747679392497,7.317367029190064,8.00171496073405,0.061370690979241846,0.0,0.10770314623313382,0.09448255344440228,0.04487416335679891,0.0004600756957061345,-6.267606082988952,0.0,-6.267606082988952,-3.2546119208101847,-1.787399938859744,2.572077300987452,19.555951114347174
847,colosseum,,d6-c1-n0.1-m7,6,0.1,7.0,,-52.04537163029244,3000,-0.6874351188813504,7.961753845214844,1.0,4.76966667175293,5.875151634216309,6.693950176239014,0.2241901802541967,1.0,4.427391386032104,5.918041308720906,7.1100481986999515,8.005357042948406,0.07050366417352924,0.0,0.08522408014515075,0.07483346455610415,0.0481352602254691,7.363100635980363e-05,-12.930183272344289,0.0,-12.930183272344289,-4.016180463759468,0.5731349571880697,8.644349703562504,592.1852747807304
10,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.0323074099551595,6.026861667633057,0.0,5.1512322425842285,5.791335105895996,6.401803016662598,-0.005977246090684373,0.004166666666666667,5.554142173131307,6.235423787434896,6.894546667734782,6.057370313008627,0.02826436714094643,0.016522363806281668,0.040929649721457885,0.03289857433223674,0.029810251911173844,0.045198629542724834,1.354520193391527,-0.2521834475695623,1.6067036409610893,9.843962342434807,13.498721162021452,16.52933536222444,0.6749904960443815
74,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,-0.0141077845614522,7.533798217773437,1.0,5.417914867401123,6.400951385498047,7.159178256988525,-0.01156080209928355,0.995,5.434345213572184,6.404733546574911,7.156411075592041,7.531568145751953,0.03955325840848126,0.010170952554312156,0.06387082745426148,0.05468925343203854,0.034520419848644124,0.0071425432580279075,-0.06439374566476956,0.49159604012508795,-0.5559897857898575,0.25724335860259906,0.06915729946037849,-0.08016071092462995,-0.3122238033318648
