instance,n_traj,method,ks_hat,ks_hat_std,n_seeds_ok,coverage,eval_dist,elapsed_s,err,name,dim,codim,noise,m,ks_true
720,500,kmetric_dorc,0.2562036664523369,0.0440215402184856,4,0.997,0.0,316.1,,d5-c1-n0.1-m0,5,1,0.1,0,9.58742063848517
720,500,fbkernel_orc,0.272594021984599,0.0525228131345156,4,0.997,0.0,316.1,,d5-c1-n0.1-m0,5,1,0.1,0,9.58742063848517
702,500,traj_dorc,0.2026241055507856,0.0,1,0.998,0.0,2.5,,d5-c1-n0.05-m12,5,1,0.05,12,-8.094765280509788
702,500,kmetric_dorc,0.2700435524820932,0.0130383235036095,4,0.998,0.0,318.8,,d5-c1-n0.05-m12,5,1,0.05,12,-8.094765280509788
702,500,fbkernel_orc,0.2427837329023259,0.0303885359975078,4,0.998,0.0,318.8,,d5-c1-n0.05-m12,5,1,0.05,12,-8.094765280509788
699,500,traj_dorc,0.1978041193680112,0.0,1,0.996,0.0,2.6,,d5-c1-n0.05-m9,5,1,0.05,9,-33.03765356029634
699,500,kmetric_dorc,0.3282573269477474,0.0195742710833696,4,0.996,0.0,317.9,,d5-c1-n0.05-m9,5,1,0.05,9,-33.03765356029634
699,500,fbkernel_orc,0.2746678286594416,0.0433039885324397,4,0.996,0.0,317.9,,d5-c1-n0.05-m9,5,1,0.05,9,-33.03765356029634
696,500,traj_dorc,0.0337719225617573,0.0,1,0.995,0.0,2.8,,d5-c1-n0.05-m6,5,1,0.05,6,-11.136468161274196
696,500,kmetric_dorc,0.1421055709820351,0.0375077973975473,4,0.995,0.0,321.8,,d5-c1-n0.05-m6,5,1,0.05,6,-11.136468161274196
696,500,fbkernel_orc,0.161537164151673,0.0224481463256288,4,0.995,0.0,321.8,,d5-c1-n0.05-m6,5,1,0.05,6,-11.136468161274196
693,500,traj_dorc,0.0356486687269802,0.0,1,0.998,0.0,2.8,,d5-c1-n0.05-m3,5,1,0.05,3,-16.703636368602854
693,500,kmetric_dorc,0.2600511613438229,0.0291478335605844,4,0.998,0.0,327.8,,d5-c1-n0.05-m3,5,1,0.05,3,-16.703636368602854
693,500,fbkernel_orc,0.2699360055509188,0.0322316712366419,4,0.998,0.0,327.8,,d5-c1-n0.05-m3,5,1,0.05,3,-16.703636368602854
690,500,traj_dorc,0.1592928714036261,0.0,1,0.997,0.0,2.5,,d5-c1-n0.05-m0,5,1,0.05,0,19.46385767445848
690,500,kmetric_dorc,0.2791062863905444,0.0305270673103689,4,0.997,0.0,321.8,,d5-c1-n0.05-m0,5,1,0.05,0,19.46385767445848
690,500,fbkernel_orc,0.288169259017961,0.0192231822497348,4,0.997,0.0,321.8,,d5-c1-n0.05-m0,5,1,0.05,0,19.46385767445848
672,500,traj_dorc,0.1633792231708102,0.0,1,0.998,0.0,2.5,,d5-c1-n0.01-m12,5,1,0.01,12,4.810311591502766
672,500,kmetric_dorc,0.2960114048608029,0.0270670144040674,4,0.998,0.0,318.5,,d5-c1-n0.01-m12,5,1,0.01,12,4.810311591502766
672,500,fbkernel_orc,0.2998783201783103,0.0641030983867203,4,0.998,0.0,318.5,,d5-c1-n0.01-m12,5,1,0.01,12,4.810311591502766
883,500,traj_dorc,-0.0721777826988461,0.0,1,0.997,0.0,3.3,,d6-c1-n0.2-m13,6,1,0.2,13,-26.5858890924547
883,500,kmetric_dorc,0.2701029252652576,0.0481475373880707,4,0.997,0.0,352.3,,d6-c1-n0.2-m13,6,1,0.2,13,-26.5858890924547
883,500,fbkernel_orc,0.2832402205209324,0.025622683730685,4,0.997,0.0,352.3,,d6-c1-n0.2-m13,6,1,0.2,13,-26.5858890924547
880,500,traj_dorc,0.1861565294658786,0.0,1,0.997,0.0,3.2,,d6-c1-n0.2-m10,6,1,0.2,10,76.14894406390464
880,500,kmetric_dorc,0.3602114064955003,0.0313961143042378,4,0.997,0.0,346.6,,d6-c1-n0.2-m10,6,1,0.2,10,76.14894406390464
880,500,fbkernel_orc,0.1867741373274919,0.0198408675084038,4,0.997,0.0,346.6,,d6-c1-n0.2-m10,6,1,0.2,10,76.14894406390464
877,500,traj_dorc,0.089222195939154,0.0,1,0.997,0.0,2.6,,d6-c1-n0.2-m7,6,1,0.2,7,-36.88598049578116
877,500,kmetric_dorc,0.234810622131742,0.0273299227762517,4,0.997,0.0,344.5,,d6-c1-n0.2-m7,6,1,0.2,7,-36.88598049578116
877,500,fbkernel_orc,0.220572666641967,0.0376230652516655,4,0.997,0.0,344.5,,d6-c1-n0.2-m7,6,1,0.2,7,-36.88598049578116
874,500,traj_dorc,0.2664369622827518,0.0,1,0.994,0.0,2.9,,d6-c1-n0.2-m4,6,1,0.2,4,-3.968806191274376
874,500,kmetric_dorc,0.3434694773473964,0.0664012354593718,4,0.994,0.0,340.5,,d6-c1-n0.2-m4,6,1,0.2,4,-3.968806191274376
874,500,fbkernel_orc,0.2647322748199571,0.029966264151839,4,0.994,0.0,340.5,,d6-c1-n0.2-m4,6,1,0.2,4,-3.968806191274376
871,500,traj_dorc,0.1745031544237344,0.0,1,0.998,0.0,2.7,,d6-c1-n0.2-m1,6,1,0.2,1,0.935435246704639
871,500,kmetric_dorc,0.2716054649638915,0.0152728056865916,4,0.998,0.0,333.8,,d6-c1-n0.2-m1,6,1,0.2,1,0.935435246704639
871,500,fbkernel_orc,0.269877445465309,0.0444764104430346,4,0.998,0.0,333.8,,d6-c1-n0.2-m1,6,1,0.2,1,0.935435246704639
853,500,traj_dorc,-0.0112765067551759,0.0,1,0.998,0.0,2.9,,d6-c1-n0.1-m13,6,1,0.1,13,-28.91830997833552
