instance,n_traj,dim,noise,ks_true,err,coverage,topo
515,25,3,0.2,0.0089580823909294,,0.2726666666666666,0.0130159575438469
577,25,4,0.05,-4.587718319365236,,0.271,0.0480459987422676
639,25,4,0.2,-57.772627160556176,,0.2636666666666666,-0.0058258299181538
701,25,5,0.05,-12.478273660639108,,0.2723333333333333,0.0461645834327339
763,25,5,0.2,-28.47551290508757,,0.2923333333333333,0.0481263267324804
840,25,6,0.1,-39.57480106909405,,0.295,0.0541164466207598
453,100,3,0.05,16.800746756883633,,0.702,0.0547096549277919
515,100,3,0.2,0.0089580823909294,,0.7233333333333334,-0.0062654187850913
577,100,4,0.05,-4.587718319365236,,0.728,0.044362549822486
639,100,4,0.2,-57.772627160556176,,0.7306666666666667,0.0329843702880245
701,100,5,0.05,-12.478273660639108,,0.744,0.0430971335708652
763,100,5,0.2,-28.47551290508757,,0.7446666666666667,0.0720296809233486
840,100,6,0.1,-39.57480106909405,,0.7403333333333333,0.0462721842356412
454,25,3,0.05,-4.99685320061184,,0.25,0.0140557786223057
