instance,n_traj,dim,noise,ks_true,err,coverage,eval_dist,resp_skew,pair_contract,pair_n
451,25,3,0.05,-12.659383196182684,,0.2646666666666666,0.2291699643612028,-0.8859586164791194,-1.7037298373419558,132.0
513,25,3,0.2,-4.361976627914746,,0.287,0.0,-0.6646261429594107,-1.4770214123729697,166.0
575,25,4,0.05,-31.28121797229592,,0.2726666666666666,0.2959803770392432,-1.3480796449189003,-2.226927613220373,173.0
637,25,4,0.2,-24.996193418222923,,0.2786666666666667,0.4564794406458126,-1.394437485188871,-1.4396917492506347,111.0
699,25,5,0.05,-33.03765356029634,,0.285,0.5062253700053206,-1.8635936099258408,-1.609133121758341,242.0
761,25,5,0.2,-3.4649771563151788,,0.2953333333333333,0.6812887775306943,-1.7653587348022843,-1.1671140961045046,165.0
823,25,6,0.05,-71.9194356359564,,0.298,0.7623947307524186,-1.5943824734369698,-1.6961626938002676,171.0
451,100,3,0.05,-12.659383196182684,,0.7123333333333334,0.0,-0.0712416133362564,-1.4609826636390766,2369.0
513,100,3,0.2,-4.361976627914746,,0.695,0.2088855081303763,-0.3930760428159156,-1.6435372326390227,2422.0
575,100,4,0.05,-31.28121797229592,,0.7343333333333333,0.0,-0.9259001804221876,-1.492485698828897,2357.0
637,100,4,0.2,-24.996193418222923,,0.7256666666666667,0.2579063819153023,-1.573488607200351,-1.325510420229299,2023.0
699,100,5,0.05,-33.03765356029634,,0.7096666666666667,0.0,-1.5336464532454244,-1.42960265188552,2562.0
761,100,5,0.2,-3.4649771563151788,,0.7173333333333334,0.0,-1.825163621938253,-1.4553014060567606,2553.0
823,100,6,0.05,-71.9194356359564,,0.734,0.5456016039332808,-1.4015365794953412,-1.34444053239294,2056.0
452,25,3,0.05,-8.503913817275507,,0.281,0.3335379425306597,-0.8895644306620543,-1.4720291814509798,141.0
514,25,3,0.2,-14.544124599425984,,0.2563333333333333,0.3587989690533993,-1.5502919126981027,-2.0387378813954453,152.0
576,25,4,0.05,1.5495180423592505,,0.2703333333333333,0.2613082072181906,-0.617027502333077,-1.7359767940048556,128.0
638,25,4,0.2,-22.997619759109075,,0.2726666666666666,0.0,-1.6200254795703892,-1.6553686009446251,251.0
700,25,5,0.05,-62.894655678803616,,0.2783333333333333,0.6566530381634074,-1.299831344970468,-2.334586519372484,189.0
762,25,5,0.2,-19.633812002494803,,0.2836666666666667,0.0,-1.7294482542616991,-1.503404724283869,213.0
824,25,6,0.05,-23.73030057471971,,0.2913333333333333,0.4192493055575281,-1.3624951137835544,-1.978117318762176,184.0
452,100,3,0.05,-8.503913817275507,,0.6736666666666666,0.1054499083163799,-1.362780652449065,-1.463936431995274,2234.0
514,100,3,0.2,-14.544124599425984,,0.7043333333333334,0.0,-1.0773382315006257,-1.3339776952692484,2091.0
576,100,4,0.05,1.5495180423592505,,0.7276666666666667,0.0,-0.7496154961658912,-1.4699662863344756,2349.0
638,100,4,0.2,-22.997619759109075,,0.7066666666666667,0.4033853836778426,-1.455867638680702,-1.341230308098719,2008.0
700,100,5,0.05,-62.894655678803616,,0.725,0.0,-1.4111414312469124,-1.3212095438436426,2359.0
762,100,5,0.2,-19.633812002494803,,0.7496666666666667,0.2381901070265851,-1.5850095429414237,-1.473553229157363,1991.0
824,100,6,0.05,-23.73030057471971,,0.7503333333333333,0.3924771633037088,-1.3184954815230026,-1.52636302383844,2330.0
453,25,3,0.05,16.800746756883633,,0.2716666666666666,0.42701364197393,-1.2922902002407164,-1.926071186710099,138.0
515,25,3,0.2,0.0089580823909294,,0.2726666666666666,0.1180441526767962,-1.2199803773249436,-1.8869118366631248,165.0
577,25,4,0.05,-4.587718319365236,,0.271,0.0,-1.4178079277362925,-2.057789188357763,149.0
