instance,graph,neighbor_scale,err,dim,noise,ks_true,s1,ent_t1,ent_t2,ent_t4,ent_t8,ent_t16,ent_t32
450,cak_40,0.7377300605074135,,3,0.05,-24.89523765054504,0.0337240397930145,0.681084394454956,1.0126748085021973,1.411759614944458,1.8641350269317627,2.3673665523529053,2.9584126472473145
450,cak_80,0.9620199948652108,,3,0.05,-24.89523765054504,0.0892041027545929,1.489336371421814,2.071434736251831,2.7229561805725098,3.489957571029663,4.4438347816467285,5.513804912567139
450,cak_160,1.2720022964642863,,3,0.05,-24.89523765054504,0.1705122888088226,2.4730939865112305,3.3057610988616943,4.262801647186279,5.321196556091309,6.259646892547607,6.856491088867188
574,adaptive_k10,,,4,0.05,-17.091759926410464,0.905701756477356,6.613226413726807,7.25139856338501,7.5799880027771,7.807360172271728,7.947476387023926,7.987523555755615
574,adaptive_k25,,,4,0.05,-17.091759926410464,1.054284691810608,7.086029052734375,7.504470825195312,7.765481472015381,7.934117794036865,7.989375591278076,7.981015205383301
574,adaptive_k50,,,4,0.05,-17.091759926410464,1.1738553047180176,7.319362163543701,7.663862705230713,7.882824897766113,7.981376647949219,7.983567714691162,7.974892616271973
574,cak_40,0.5774441476318682,,4,0.05,-17.091759926410464,0.0230149179697036,0.4043452739715576,0.5999996066093445,0.8671354651451111,1.217323660850525,1.6513808965682983,2.192901372909546
574,cak_80,0.7114916557912584,,4,0.05,-17.091759926410464,0.065109834074974,0.879428505897522,1.3182510137557983,1.899229884147644,2.649922132492065,3.60900616645813,4.747622013092041
574,cak_160,0.8843142746294259,,4,0.05,-17.091759926410464,0.1622949838638305,1.7608124017715454,2.6043379306793213,3.665339708328247,4.875081062316895,6.017886161804199,6.852110385894775
698,adaptive_k10,,,5,0.05,-14.507889827778769,1.1927423477172852,7.078335762023926,7.574862957000732,7.833871364593506,7.9541015625,7.977284431457519,7.974351406097412
698,adaptive_k25,,,5,0.05,-14.507889827778769,1.3220481872558594,7.39657735824585,7.749928474426269,7.924496650695801,7.976168155670166,7.979971408843994,7.980457305908203
698,adaptive_k50,,,5,0.05,-14.507889827778769,1.4188627004623413,7.573416233062744,7.849801540374756,7.960490703582764,7.982486248016357,7.986505031585693,7.987624645233154
698,cak_40,0.5005785981860083,,5,0.05,-14.507889827778769,0.0362884476780891,0.4284859299659729,0.7124902009963989,1.1238679885864258,1.6483932733535769,2.224564790725708,2.810729503631592
698,cak_80,0.5919935322235933,,5,0.05,-14.507889827778769,0.0973633229732513,0.9919628500938416,1.529671311378479,2.178159475326538,2.872948408126831,3.6222989559173584,4.477757930755615
698,cak_160,0.7070395426754872,,5,0.05,-14.507889827778769,0.1936229467391967,1.776412010192871,2.5454819202423096,3.395205020904541,4.349484920501709,5.400305271148682,6.384148597717285
822,adaptive_k10,,,6,0.05,-7.917380679276863,1.4619457721710205,7.311617374420166,7.685632228851318,7.879798889160156,7.959645271301269,7.952487945556641,7.941009521484375
822,adaptive_k25,,,6,0.05,-7.917380679276863,1.585829496383667,7.515283107757568,7.802951812744141,7.93728494644165,7.963123321533203,7.956272125244141,7.959083557128906
822,adaptive_k50,,,6,0.05,-7.917380679276863,1.682205080986023,7.64315128326416,7.87335205078125,7.959845066070557,7.970713138580322,7.973949432373047,7.976235866546631
822,cak_40,0.4503014319171098,,6,0.05,-7.917380679276863,0.04342757537961,0.5311054587364197,0.8226478695869446,1.1980479955673218,1.640332818031311,2.1165218353271484,2.605591058731079
822,cak_80,0.5200721742683565,,6,0.05,-7.917380679276863,0.0992032885551452,0.9649261832237244,1.4330438375473022,1.9821224212646484,2.56976056098938,3.189168930053711,3.874657392501831
822,cak_160,0.604741134209047,,6,0.05,-7.917380679276863,0.194998025894165,1.579697847366333,2.242490530014038,2.9763667583465576,3.793200731277466,4.7324538230896,5.736412525177002
312,adaptive_k10,,,2,0.01,-0.8978601744396698,0.0958882123231887,4.0781731605529785,4.687419891357422,5.335153102874756,6.030173778533936,6.7403106689453125,7.360850811004639
312,adaptive_k25,,,2,0.01,-0.8978601744396698,0.1465514600276947,4.821679592132568,5.484724521636963,6.194450378417969,6.913112163543701,7.496808052062988,7.829892635345459
312,adaptive_k50,,,2,0.01,-0.8978601744396698,0.215937852859497,5.496545791625977,6.209085464477539,6.931628704071045,7.5115861892700195,7.837643623352051,7.9680495262146
312,cak_40,1.3473056953760338,,2,0.01,-0.8978601744396698,0.027050644159317,2.0485990047454834,2.53832483291626,3.033167600631714,3.5011146068573,3.904890537261963,4.264970302581787
312,cak_80,1.9447794816572563,,2,0.01,-0.8978601744396698,0.0434465035796165,2.760196685791016,3.307124376296997,3.8087079524993896,4.255089282989502,4.692731380462647,5.175421237945557
312,cak_160,2.8182875035055344,,2,0.01,-0.8978601744396698,0.0658664554357528,3.4605724811553955,3.988539218902588,4.469989776611328,4.967507839202881,5.527242183685303,6.163249492645264
451,adaptive_k10,,,3,0.05,-12.659383196182684,0.475035548210144,5.430942058563232,6.528388977050781,7.309194087982178,7.694004058837891,7.886726379394531,7.978938579559326
451,adaptive_k25,,,3,0.05,-12.659383196182684,0.6663761138916016,6.512130260467529,7.283615112304687,7.678394317626953,7.883792400360107,7.981004238128662,7.991217136383057
451,adaptive_k50,,,3,0.05,-12.659383196182684,0.8163002133369446,7.088889598846436,7.59368371963501,7.848263740539551,7.973411560058594,7.992247104644775,7.981459140777588
451,cak_40,0.716393329695416,,3,0.05,-12.659383196182684,0.0244509819895029,0.6543952822685242,0.9157978296279908,1.261206030845642,1.6785789728164673,2.1578052043914795,2.70674204826355
