anchor,mix_ent,V,absorbed,dim,dataset,seed,ks_true
169,0.91935354,1.4699554682418765,1.0,3,saddle,1,-8.0
654,0.021973187,0.3700057551829966,1.0,3,saddle,1,-8.0
1005,1.0832648,1.332888510381206,1.0,3,saddle,1,-8.0
284,0.81007475,1.1270430735631383,1.0000001,3,saddle,1,-8.0
614,0.8810746,1.2341691540748705,1.0,3,saddle,1,-8.0
1569,0.04667391,0.5774464607070456,1.0,3,saddle,1,-8.0
1716,0.7406195,1.646643600849256,1.0000001,3,saddle,1,-8.0
1967,0.012490029,0.4355590497478029,1.0,3,saddle,1,-8.0
268,1.0478072,1.5022389936688567,0.99999994,3,saddle,1,-8.0
805,0.13336407,1.13215822048072,1.0,3,saddle,1,-8.0
1620,0.048150502,0.3103349833353029,1.0,3,saddle,1,-8.0
1625,0.01065204,0.8614675618887564,1.0000001,3,saddle,1,-8.0
508,0.52597845,1.3362383035538445,1.0,3,saddle,1,-8.0
491,0.39312387,0.6875306470681182,1.0,3,saddle,1,-8.0
1495,1.0103818,1.5705064675070182,1.0000001,3,saddle,1,-8.0
408,0.22663024,0.6408192608319819,1.0,3,saddle,1,-8.0
1004,0.6363978,0.9478298348175311,1.0,3,saddle,1,-8.0
1070,0.19933076,0.7446414023116015,1.0000001,3,saddle,1,-8.0
1947,1.3569436,1.3338756041775066,1.0,3,saddle,1,-8.0
1867,0.022666326,0.8842580722215561,1.0000001,3,saddle,1,-8.0
1275,1.7559837,1.6057137728011988,1.0,3,saddle,1,-8.0
1089,0.83997077,0.8969386271035438,0.99999994,3,saddle,1,-8.0
1714,0.45846155,1.149848887437415,0.99999994,3,saddle,1,-8.0
1484,0.11127166,0.7945715716078128,1.0000001,3,saddle,1,-8.0
603,0.12569699,0.7981269693792742,1.0,3,saddle,1,-8.0
928,0.95479906,1.176526226335978,1.0,3,saddle,1,-8.0
79,0.03758856,0.6436341120364213,1.0,3,saddle,2,-8.0
1641,0.13989535,0.9632081180658111,1.0,3,saddle,2,-8.0
1598,1.0375761,1.5097977772886026,0.99999994,3,saddle,2,-8.0
512,1.1051592,1.3612317054390213,1.0,3,saddle,2,-8.0
603,0.0151614,0.6004396771861469,1.0,3,saddle,2,-8.0
1863,1.394568,1.4766166394773843,0.99999994,3,saddle,2,-8.0
296,0.3684778,0.9009299713690242,1.0,3,saddle,2,-8.0
436,0.87294304,1.2836911749454525,1.0,3,saddle,2,-8.0
757,0.74848855,1.0200016805602892,1.0,3,saddle,2,-8.0
812,0.041550264,0.8361506908021005,1.0,3,saddle,2,-8.0
1879,0.18426445,0.6348456615664915,1.0,3,saddle,2,-8.0
