n_trajectories,manifold,gamma,temperature,ks_hat_mean,ks_true,n_visited,err
200,7,0.9,0.5,-1.6559429168701172,3.7116721280151084,1925,
200,7,0.9,1.0,-2.218376636505127,3.7116721280151084,1925,
200,7,0.9,2.0,-2.8135859966278076,3.7116721280151084,1925,
200,7,0.9,5.0,-3.6316065788269043,3.7116721280151084,1925,
200,8,0.9,0.1,-0.6560332775115967,-2.454811352493259,1933,
200,8,0.9,0.3,-1.3433619737625122,-2.454811352493259,1933,
200,8,0.9,0.5,-1.738526701927185,-2.454811352493259,1933,
200,8,0.9,1.0,-2.307339906692505,-2.454811352493259,1933,
200,8,0.9,2.0,-2.896559715270996,-2.454811352493259,1933,
200,8,0.9,5.0,-3.6866941452026367,-2.454811352493259,1933,
200,9,0.9,0.1,-0.6696467399597168,-2.419456386418404,1944,
200,9,0.9,0.3,-1.366431474685669,-2.419456386418404,1944,
200,9,0.9,0.5,-1.7659505605697632,-2.419456386418404,1944,
200,9,0.9,1.0,-2.349952459335327,-2.419456386418404,1944,
200,9,0.9,2.0,-2.955172061920166,-2.419456386418404,1944,
200,9,0.9,5.0,-3.754314661026001,-2.419456386418404,1944,
200,10,0.9,0.1,-0.6338858008384705,1.3828937942222883,1922,
200,10,0.9,0.3,-1.299058437347412,1.3828937942222883,1922,
200,10,0.9,0.5,-1.6925849914550781,1.3828937942222883,1922,
200,10,0.9,1.0,-2.267972707748413,1.3828937942222883,1922,
200,10,0.9,2.0,-2.8671159744262695,1.3828937942222883,1922,
200,10,0.9,5.0,-3.675447463989258,1.3828937942222883,1922,
200,11,0.9,0.1,-0.6167743802070618,-1.0868577918537068,1896,
200,11,0.9,0.3,-1.307738184928894,-1.0868577918537068,1896,
200,11,0.9,0.5,-1.7076367139816284,-1.0868577918537068,1896,
200,11,0.9,1.0,-2.2848801612854004,-1.0868577918537068,1896,
200,11,0.9,2.0,-2.882946252822876,-1.0868577918537068,1896,
200,11,0.9,5.0,-3.691885232925415,-1.0868577918537068,1896,
200,12,0.9,0.1,-0.682312548160553,-3.2611585548281483,1905,
200,12,0.9,0.3,-1.3765002489089966,-3.2611585548281483,1905,
200,12,0.9,0.5,-1.7688237428665161,-3.2611585548281483,1905,
200,12,0.9,1.0,-2.3398237228393555,-3.2611585548281483,1905,
200,12,0.9,2.0,-2.93295955657959,-3.2611585548281483,1905,
200,12,0.9,5.0,-3.7206733226776123,-3.2611585548281483,1905,
200,13,0.9,0.1,-0.6406934261322021,8.128780451420226,1943,
200,13,0.9,0.3,-1.3014512062072754,8.128780451420226,1943,
200,13,0.9,0.5,-1.6847525835037231,8.128780451420226,1943,
200,13,0.9,1.0,-2.254655599594116,8.128780451420226,1943,
200,13,0.9,2.0,-2.856273889541626,8.128780451420226,1943,
200,13,0.9,5.0,-3.6701033115386963,8.128780451420226,1943,
200,14,0.9,0.1,-0.6968135237693787,-9.676442681847096,1950,
200,14,0.9,0.3,-1.4138774871826172,-9.676442681847096,1950,
200,14,0.9,0.5,-1.8183273077011108,-9.676442681847096,1950,
200,14,0.9,1.0,-2.3924365043640137,-9.676442681847096,1950,
200,14,0.9,2.0,-2.9778456687927246,-9.676442681847096,1950,
200,14,0.9,5.0,-3.7631678581237793,-9.676442681847096,1950,
200,15,0.9,0.1,-0.7193785309791565,-4.959495063988446,1894,
200,15,0.9,0.3,-1.400236964225769,-4.959495063988446,1894,
200,15,0.9,0.5,-1.7835105657577515,-4.959495063988446,1894,
200,15,0.9,1.0,-2.342597723007202,-4.959495063988446,1894,
200,15,0.9,2.0,-2.927144765853882,-4.959495063988446,1894,
200,15,0.9,5.0,-3.711426019668579,-4.959495063988446,1894,
200,16,0.9,0.1,-0.6915635466575623,-5.872601916139336,1948,
200,16,0.9,0.3,-1.377819299697876,-5.872601916139336,1948,
200,16,0.9,0.5,-1.7722140550613403,-5.872601916139336,1948,
200,16,0.9,1.0,-2.3473007678985596,-5.872601916139336,1948,
200,16,0.9,2.0,-2.9438858032226562,-5.872601916139336,1948,
200,16,0.9,5.0,-3.739107847213745,-5.872601916139336,1948,
200,17,0.9,0.1,-0.7233326435089111,-6.974039802853809,1925,
200,17,0.9,0.3,-1.4117261171340942,-6.974039802853809,1925,
200,17,0.9,0.5,-1.798850178718567,-6.974039802853809,1925,
200,17,0.9,1.0,-2.3643853664398193,-6.974039802853809,1925,
200,17,0.9,2.0,-2.9518074989318848,-6.974039802853809,1925,
200,17,0.9,5.0,-3.7311878204345703,-6.974039802853809,1925,
200,18,0.9,0.1,-0.6546861529350281,5.624116891875757,1911,
200,18,0.9,0.3,-1.288759469985962,5.624116891875757,1911,
200,18,0.9,0.5,-1.6511257886886597,5.624116891875757,1911,
200,18,0.9,1.0,-2.199368476867676,5.624116891875757,1911,
200,18,0.9,2.0,-2.7882440090179443,5.624116891875757,1911,
200,18,0.9,5.0,-3.6024463176727295,5.624116891875757,1911,
200,19,0.9,0.1,-0.6213037371635437,8.114032980179669,1904,
200,19,0.9,0.3,-1.2555854320526123,8.114032980179669,1904,
200,19,0.9,0.5,-1.6374242305755615,8.114032980179669,1904,
200,19,0.9,1.0,-2.2088115215301514,8.114032980179669,1904,
200,19,0.9,2.0,-2.807396173477173,8.114032980179669,1904,
200,19,0.9,5.0,-3.6253676414489746,8.114032980179669,1904,
500,0,0.9,0.1,-0.6422156095504761,-0.8196425268452683,1998,
