n_trajectories,manifold,tau,ks_hat_mean,ks_true,n_visited,err
1000,16,0.3,-6.646293207406997,-4.499597219025709,2000,
1000,16,0.5,-6.821953294992447,-4.499597219025709,2000,
1000,17,0.2,-6.406969118356705,7.1679435744042586,2000,
1000,17,0.3,-6.579987967014313,7.1679435744042586,2000,
1000,17,0.5,-6.7891539471149445,7.1679435744042586,2000,
1000,18,0.2,-6.416352994203567,5.673359530031444,2000,
1000,18,0.3,-6.578652562141419,5.673359530031444,2000,
1000,18,0.5,-6.779119117021561,5.673359530031444,2000,
1000,19,0.2,-6.460533556222916,5.550922179468609,2000,
1000,19,0.3,-6.61327935385704,5.550922179468609,2000,
1000,19,0.5,-6.8011248133182525,5.550922179468609,2000,
2000,0,0.2,-6.03658857023716,-17.664154673944296,2000,
2000,0,0.3,-6.227548231601715,-17.664154673944296,2000,
2000,0,0.5,-6.487449302196502,-17.664154673944296,2000,
2000,1,0.2,-6.345976401567459,-9.752893017945407,2000,
2000,1,0.3,-6.511556658744812,-9.752893017945407,2000,
2000,1,0.5,-6.7217431716918945,-9.752893017945407,2000,
2000,2,0.2,-6.00250802898407,6.782030357207869,2000,
2000,2,0.3,-6.186982842445373,6.782030357207869,2000,
2000,2,0.5,-6.427024131774902,6.782030357207869,2000,
2000,3,0.2,-6.412178844928741,2.9099346852854566,2000,
2000,3,0.3,-6.5732744743824005,2.9099346852854566,2000,
2000,3,0.5,-6.774561495304107,2.9099346852854566,2000,
2000,4,0.2,-6.4751753542423245,-1.1117414400607863,2000,
2000,4,0.3,-6.632837577342987,-1.1117414400607863,2000,
2000,4,0.5,-6.819674077272415,-1.1117414400607863,2000,
2000,5,0.2,-5.875711598396301,-1.0741749613034777,2000,
2000,5,0.3,-6.067248106718063,-1.0741749613034777,2000,
2000,5,0.5,-6.321230792760849,-1.0741749613034777,2000,
2000,6,0.2,-6.510608018398285,-3.348655608211125,2000,
2000,6,0.3,-6.64478551864624,-3.348655608211125,2000,
2000,6,0.5,-6.816312000513077,-3.348655608211125,2000,
