instance,dim,noise,ks_true,err,mix_ent,mix_ent_all,V_anchor,n_goals
755,5,0.2,-34.37732560792047,,1.478039264678955,1.317463755607605,2.32394398973368,12
879,6,0.2,-34.01810499140309,,1.5467698574066162,1.4114396572113037,4.722559200048014,12
493,3,0.1,33.209975825617065,,0.4018179476261139,0.5584806799888611,3.289768621738445,12
632,4,0.2,-24.04856054825175,,0.8789286613464355,0.7343026995658875,3.028487215346056,12
756,5,0.2,-36.6631065153695,,0.7265728712081909,1.0282113552093506,4.385628166741572,12
880,6,0.2,76.14894406390464,,1.325395941734314,1.347633957862854,4.038229335480572,12
494,3,0.1,-1.6689192913019415,,0.3557106256484985,0.395416796207428,1.8134950428747,12
633,4,0.2,-15.94121826097334,,0.9471611380577089,0.8574268221855164,2.7361929107430263,12
757,5,0.2,-29.417968211109795,,1.3250656127929688,1.2721693515777588,2.430955843241671,12
881,6,0.2,-26.701955637154743,,1.1621596813201904,0.9939069747924804,5.631913615808363,12
510,3,0.2,9.530164910380307,,1.0798710584640503,0.9037656784057616,1.777580824905726,12
634,4,0.2,-5.665571274105821,,1.5540965795516968,1.3194150924682615,2.4136862170470144,12
758,5,0.2,-31.847402516207318,,1.0847043991088867,1.2080949544906616,3.307180833574293,12
882,6,0.2,-34.46401744692712,,0.7489627599716187,0.5045282244682312,5.7749887088285305,12
511,3,0.2,-3.66641372894382,,0.7151864171028137,0.7730081677436829,1.4698911595153312,12
635,4,0.2,-39.18539102422648,,0.8276486396789551,1.0338103771209717,2.578383255099395,12
759,5,0.2,-18.93721874462364,,1.5036886930465698,1.285535454750061,5.0140505491301575,12
883,6,0.2,-26.5858890924547,,1.674790859222412,1.5498985052108765,3.4408796811803004,12
512,3,0.2,-7.144697080372662,,0.952566146850586,0.8129544258117676,1.8481274197838635,12
636,4,0.2,-29.21622157395343,,0.3008500039577484,0.5405212640762329,2.9354972721458634,12
760,5,0.2,-38.9177710392795,,1.161258339881897,1.086716890335083,3.4294078631778744,12
884,6,0.2,-48.22651622007661,,0.9313016533851624,0.8726377487182617,3.827569859964978,12
513,3,0.2,-4.361976627914746,,1.2692893743515017,1.0241061449050903,1.877354460508449,12
637,4,0.2,-24.996193418222923,,1.2165133953094482,1.0897502899169922,2.3561786732742327,12
761,5,0.2,-3.4649771563151788,,0.7890866994857788,1.0259389877319336,2.964158438489294,12
514,3,0.2,-14.544124599425984,,0.644705057144165,0.7235227823257446,2.523139882107696,12
638,4,0.2,-22.997619759109075,,0.9960291385650636,0.9190860986709596,2.850625554193294,12
762,5,0.2,-19.633812002494803,,1.3760004043579102,1.0936713218688965,4.058307503871571,12
425,3,0.01,-6.077102370699984,,0.8216809034347534,0.6182407140731812,2.063146687176036,12
549,4,0.01,-11.171970873719408,,0.5959987640380859,0.7327122688293457,2.9753105416598125,12
673,5,0.01,-29.827358750792463,,0.9124436378479004,0.9579137563705444,2.7278509773057813,12
