instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent,mu_k,sd_k,mu_f,sd_f,mu_e,sd_e,z_plus,z_frac,z_ent,S_diff,c_off,K_cal,S3,K_gated,S_sel,kappa_only,frac_only,ent_only
129,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,0.0494873930450641,1.0,6.750925540924072,1,0.10307559745691662,0.0729677896994548,0.9845833333333334,0.019332429130659076,6.539523998896281,0.08017770116711977,-0.7344090403803599,0.7974510891762443,-2.636662550191513,-1.531860129556604,3.4214661598231677,-6.058128710014681,-4.168522679748117,-6.058128710014681,0.0,-0.7344090403803599,-0.7974510891762443,-2.636662550191513
193,sadspheres,,5-Sphere,5,0.0,,Sphere,2.0,2000,0.4834747839331338,0.0,6.675732612609863,1,0.2888645288180819,0.036398824889933575,1.0,0.001,7.24161589940389,0.030860609135372682,5.346608185938254,-1000.0,18.336750396329897,1005.3466081859383,0.44206639580325935,17.894684000526638,1023.6833585822682,17.894684000526638,5.346608185938254,5.346608185938254,1000.0,18.336750396329897
257,sadspheres,,6-Plane,6,0.0,,Plane,0.0,2000,0.4353201913893124,1.0,7.382251739501953,1,0.4403097779431379,0.03220084053120525,1.0,0.001,7.411487770080567,0.017972432815363915,-0.1549520593721836,0.0,1.6267152521288462,-0.1549520593721836,-3.4741812645000856,5.100896516628932,1.4717631927566626,5.100896516628932,0.0,-0.1549520593721836,-0.0,1.6267152521288462
336,colosseum,,d2-c1-n0.05-m6,2,0.05,6.0,,-2.880567788146728,3000,0.013599277420896,0.0,6.298825263977051,7,0.00745966836540488,0.029911808688745024,0.0175,0.07424911470504386,6.107825676600139,0.06548721937029274,0.2052570314078427,-0.2356930458971681,-2.916593332462611,0.4409500773050108,17.84854427726374,-20.765137609726352,-2.4756432551576,-20.765137609726352,0.0,0.2052570314078427,0.2356930458971681,-2.916593332462611
460,colosseum,,d3-c1-n0.05-m10,3,0.05,10.0,,-13.787515224982826,3000,-0.0252411607504266,0.7375,5.6683220863342285,1,-0.13339043664545883,0.05156161832448258,0.9383333333333332,0.051688445539586986,5.066208426157633,0.13114770066697495,2.0974763672939374,-3.885458949999175,-4.591111068775428,5.982935317293112,-8.572943850824748,3.9818327820493202,1.3918242485176848,3.9818327820493202,2.0974763672939374,2.0974763672939374,3.885458949999175,-4.591111068775428
584,colosseum,,d4-c1-n0.05-m14,4,0.05,14.0,,-18.85016105524571,3000,0.0736520546181205,0.3875,6.631349086761475,1,-0.09327934569536739,0.10507114599649368,0.98125,0.029680409770384428,6.558955891927083,0.10374396549364048,1.5887463559125787,-20.004777716797324,-0.6978063204922403,21.593524072709904,-4.153213011016678,3.455406690524438,20.895717752217664,3.455406690524438,1.5887463559125787,1.5887463559125787,20.004777716797324,-0.6978063204922403
723,colosseum,,d5-c1-n0.1-m3,5,0.1,3.0,,-39.1042194433172,3000,-0.2334335458607342,1.0,7.418505191802978,1,0.15121377023799723,0.061370690979241846,1.0,0.001,7.499305057525635,0.034443214345206905,-6.267606082988952,0.0,2.345886330841274,-6.267606082988952,8.215329936481377,-5.869443605640102,-3.9217197521476783,-5.869443605640102,0.0,-6.267606082988952,-0.0,2.345886330841274
847,colosseum,,d6-c1-n0.1-m7,6,0.1,7.0,,-52.04537163029244,3000,-0.6874351188813504,1.0,7.153644561767578,1,0.2241901802541967,0.07050366417352924,1.0,0.001,7.769206523895264,0.018084087986785728,-12.930183272344289,0.0,34.03887232673743,-12.930183272344289,27.691041503086346,6.347830823651087,21.108689054393146,-6.347830823651087,0.0,-12.930183272344289,-0.0,34.03887232673743
10,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.0323074099551595,0.0,5.590858936309815,5,-0.005977246090684373,0.02826436714094643,0.004166666666666667,0.016522363806281668,5.660355265935262,0.08926540042406504,1.354520193391527,-0.2521834475695623,0.7785360206227389,1.6067036409610893,-1.2713470918351053,2.0498831124578443,2.385239661583828,2.0498831124578443,1.354520193391527,1.354520193391527,0.2521834475695623,0.7785360206227389
74,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,-0.0141077845614522,1.0,5.048614501953125,1,-0.01156080209928355,0.03955325840848126,0.995,0.010170952554312156,5.097828801472982,0.12915953654581017,-0.06439374566476956,0.49159604012508795,0.38103496525323727,-0.5559897857898575,-1.3577360417348654,1.7387710069881026,-0.17495482053662026,1.7387710069881026,0.0,-0.06439374566476956,-0.49159604012508795,0.38103496525323727
138,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,0.0540054877808365,1.0,6.785070896148682,1,0.10307559745691662,0.0729677896994548,0.9845833333333334,0.019332429130659076,6.539523998896281,0.08017770116711977,-0.6724900107046379,0.7974510891762443,-3.0625335183979714,-1.4699410998808822,3.4214661598231677,-6.483999678221139,-4.532474618278854,-6.483999678221139,0.0,-0.6724900107046379,-0.7974510891762443,-3.0625335183979714
202,sadspheres,,5-Sphere,5,0.0,,Sphere,2.0,2000,0.3865332052527188,0.0,6.720882415771484,1,0.2888645288180819,0.036398824889933575,1.0,0.001,7.24161589940389,0.030860609135372682,2.683292021925907,-1000.0,16.873726676883283,1002.6832920219259,0.44206639580325935,16.431660281080024,1019.5570186988092,16.431660281080024,2.683292021925907,2.683292021925907,1000.0,16.873726676883283
