instance,err,name,dim,noise,m,ks_true,frac_t8_origin,frac_t8_mean,frac_t16_origin,frac_t16_mean
577,,d4-c1-n0.05-m7,4,0.05,7,-4.587718319365236,-0.25,-0.1875,-0.1875,-0.1
579,,d4-c1-n0.05-m9,4,0.05,9,-12.708320135998806,-0.25,-0.2625,-0.5,-0.4875
581,,d4-c1-n0.05-m11,4,0.05,11,-27.984450651921836,-0.125,-0.1375,-0.75,-0.525
583,,d4-c1-n0.05-m13,4,0.05,13,28.472607937392368,-0.0,-0.0,-0.0,-0.0
600,,d4-c1-n0.1-m0,4,0.1,0,-26.415311732361605,-0.0,-0.0375,-0.375,-0.525
602,,d4-c1-n0.1-m2,4,0.1,2,29.480145418186098,-0.0,-0.025,-0.0,-0.0375
604,,d4-c1-n0.1-m4,4,0.1,4,-3.1032668576189137,-0.0,-0.0125,-0.0,-0.1375
606,,d4-c1-n0.1-m6,4,0.1,6,-27.860036231503933,-0.25,-0.2125,-0.625,-0.5125
608,,d4-c1-n0.1-m8,4,0.1,8,5.924945353387931,-0.0,-0.0375,-0.0,-0.0625
610,,d4-c1-n0.1-m10,4,0.1,10,4.907010535399368,-0.1875,-0.125,-0.625,-0.6875
612,,d4-c1-n0.1-m12,4,0.1,12,2.082313981868797,-0.125,-0.0625,-0.125,-0.1375
614,,d4-c1-n0.1-m14,4,0.1,14,-12.13766082906188,-0.3125,-0.1625,-0.25,-0.1375
631,,d4-c1-n0.2-m1,4,0.2,1,9.496456875600702,-0.0625,-0.0125,-0.3125,-0.2
633,,d4-c1-n0.2-m3,4,0.2,3,-15.94121826097334,-0.25,-0.225,-0.5625,-0.4375
635,,d4-c1-n0.2-m5,4,0.2,5,-39.18539102422648,-0.0,-0.025,-0.6875,-0.775
637,,d4-c1-n0.2-m7,4,0.2,7,-24.996193418222923,-0.0,-0.0,-0.125,-0.1
639,,d4-c1-n0.2-m9,4,0.2,9,-57.772627160556176,-0.125,-0.0625,-1.0,-1.0
641,,d4-c1-n0.2-m11,4,0.2,11,-16.067167115072312,-0.0,-0.0,-0.4375,-0.3
643,,d4-c1-n0.2-m13,4,0.2,13,6.224275918490596,-0.0,-0.0,-0.0625,-0.025
660,,d5-c1-n0.01-m0,5,0.01,0,1.9053751696081136,-0.0,-0.0375,-0.125,-0.2125
