instance,n_traj,err,dim,noise,ks_true,coverage,frac_emp,ent_emp_t2,ent_emp_t4,ent_emp_t8,kappa_surp,frac_fb,ent_fb
754,50,,5,0.2,-4.946768816439207,0.491,0.0,1.039751052856445,1.6423457860946655,2.53104567527771,-0.399249983155597,0.6302083333333334,5.75532591342926
793,50,,6,0.01,-76.44652684559905,0.473,0.0909090909090909,1.7863483428955078,2.687723159790039,3.828424453735352,-0.1191617399466668,0.4166666666666666,5.704275488853455
847,50,,6,0.1,-52.04537163029244,0.489,0.0714285714285714,1.6173046827316284,2.2473177909851074,3.037822723388672,0.1548148060376589,0.11328125,5.81932532787323
450,10,,3,0.05,-24.89523765054504,0.12,0.0,1.1912126541137695,1.868535041809082,2.590456485748291,0.1028737960508839,0.5104166666666667,4.483152270317078
489,10,,3,0.1,-5.530406551054341,0.116,0.1428571428571428,1.03208327293396,1.3001474142074585,1.6161737442016602,0.2841945426406783,0.078125,4.466816544532776
543,10,,4,0.01,5.992532678039441,0.121,0.0,0.8806003332138062,1.1092461347579956,1.4505207538604736,0.1866576860995906,0.5260416666666666,4.322646617889404
582,10,,4,0.05,-20.161306901824567,0.12,0.0,1.1334503889083862,1.4893083572387695,1.8112030029296875,3.670674656823062e-08,0.03125,4.234859108924866
636,10,,4,0.2,-29.21622157395343,0.126,0.25,1.8432343006134035,2.386734962463379,2.7904655933380127,0.2589254896342295,0.0625,4.156263589859009
690,10,,5,0.05,19.46385767445848,0.13,0.3,1.5961722135543823,2.1322782039642334,2.666446685791016,-0.3038100862456562,0.5520833333333333,4.338269114494324
729,10,,5,0.1,12.657273566920678,0.121,0.2307692307692307,1.5437111854553225,2.145890951156616,2.721824407577514,-0.3727131147759066,0.15625,4.098636746406555
783,10,,6,0.01,-42.99969305482514,0.121,0.4761904761904761,2.093129873275757,2.842432737350464,3.503988981246948,-0.2894076963333999,0.825,4.432857990264893
822,10,,6,0.05,-7.917380679276863,0.126,0.0,1.0397286415100098,1.570939540863037,2.1756458282470703,-0.2588748772695523,0.8333333333333333,4.662461042404175
876,10,,6,0.2,-71.87814112792898,0.13,0.0,1.111647605895996,1.575879454612732,2.082138061523437,-0.1298484040114519,0.828125,4.574556946754456
450,25,,3,0.05,-24.89523765054504,0.255,0.1666666666666666,1.146069884300232,1.442046880722046,1.6187286376953125,0.1976155821250413,0.7291666666666666,5.178358793258667
489,25,,3,0.1,-5.530406551054341,0.283,0.1428571428571428,1.2552850246429443,1.8257378339767456,2.520343780517578,-0.0842997607379484,0.7760416666666666,5.283360600471497
543,25,,4,0.01,5.992532678039441,0.269,0.0,1.0397374629974363,1.5303983688354492,2.033300876617432,0.459552349909937,0.0,4.984737396240234
582,25,,4,0.05,-20.161306901824567,0.278,0.0,1.0397379398345947,1.4075641632080078,1.7795302867889404,-3.27753292284072e-08,0.6822916666666666,5.327700018882752
636,25,,4,0.2,-29.21622157395343,0.293,0.0,1.1334607601165771,1.6231365203857422,2.1434030532836914,-0.2093706684401726,0.609375,5.174883246421814
690,25,,5,0.05,19.46385767445848,0.272,0.2857142857142857,0.9823956489562988,1.247284173965454,1.5888116359710691,0.056608553174954,0.5208333333333333,5.103718042373657
729,25,,5,0.1,12.657273566920678,0.276,0.0909090909090909,1.5988962650299072,2.4356164932250977,3.3804967403411865,0.1526836748504408,0.4739583333333333,5.119250655174255
