instance,n_traj,method,score_origin,score_mean,coverage,err,name,dim,noise,m,ks_true
640,500,shortcut_odd_q60,705.4199786135487,725.1713754665323,0.997,,d4-c1-n0.2-m10,4,0.2,10,32.54341939091398
642,500,shortcut_odd_q60,874.6998813820145,770.7647999160657,0.996,,d4-c1-n0.2-m12,4,0.2,12,-15.484538294325528
644,500,shortcut_odd_q60,717.4426895153364,724.2756217915778,0.995,,d4-c1-n0.2-m14,4,0.2,14,53.48846762686056
661,500,shortcut_odd_q60,830.570617613794,752.0357522964459,0.998,,d5-c1-n0.01-m1,5,0.01,1,2.5245450099361197
663,500,shortcut_odd_q60,790.1561367133672,833.6934262095629,0.998,,d5-c1-n0.01-m3,5,0.01,3,2.1789181931808583
665,500,shortcut_odd_q60,772.7956244483626,689.5549295040001,0.997,,d5-c1-n0.01-m5,5,0.01,5,-44.1232350861954
667,500,shortcut_odd_q60,702.4571615556911,820.9772339324836,0.993,,d5-c1-n0.01-m7,5,0.01,7,-13.523752961154
669,500,shortcut_odd_q60,958.093999869461,808.3390326577298,0.997,,d5-c1-n0.01-m9,5,0.01,9,-18.319930087521648
671,500,shortcut_odd_q60,836.077879513698,773.7218682073851,0.997,,d5-c1-n0.01-m11,5,0.01,11,-19.616145636909778
673,500,shortcut_odd_q60,947.0546974118884,806.199221407563,0.998,,d5-c1-n0.01-m13,5,0.01,13,-29.827358750792463
690,500,shortcut_odd_q60,823.6113916702541,771.9072630430015,0.997,,d5-c1-n0.05-m0,5,0.05,0,19.46385767445848
692,500,shortcut_odd_q60,833.2693971823305,759.2126341956013,0.996,,d5-c1-n0.05-m2,5,0.05,2,-29.278471998111137
694,500,shortcut_odd_q60,702.562943457357,783.7566608893668,0.999,,d5-c1-n0.05-m4,5,0.05,4,54.88132514320018
696,500,shortcut_odd_q60,889.763894034656,878.4687580236043,0.995,,d5-c1-n0.05-m6,5,0.05,6,-11.136468161274196
698,500,shortcut_odd_q60,896.7059667684989,840.0762757890363,0.998,,d5-c1-n0.05-m8,5,0.05,8,-14.507889827778769
700,500,shortcut_odd_q60,587.6536574847526,565.9994802063748,0.996,,d5-c1-n0.05-m10,5,0.05,10,-62.894655678803616
702,500,shortcut_odd_q60,782.8686084004188,699.5341586644881,0.998,,d5-c1-n0.05-m12,5,0.05,12,-8.094765280509788
704,500,shortcut_odd_q60,821.4571291964173,714.5987181954449,0.998,,d5-c1-n0.05-m14,5,0.05,14,-31.099208931298197
721,500,shortcut_odd_q60,638.3517016210546,730.7288328593443,0.998,,d5-c1-n0.1-m1,5,0.1,1,55.01886922438137
723,500,shortcut_odd_q60,646.9532926574914,889.4859904329726,0.998,,d5-c1-n0.1-m3,5,0.1,3,-39.1042194433172
725,500,shortcut_odd_q60,764.1207042439527,728.8806347054702,0.994,,d5-c1-n0.1-m5,5,0.1,5,-33.13785935137783
727,500,shortcut_odd_q60,829.8718116057304,748.9470648370641,0.997,,d5-c1-n0.1-m7,5,0.1,7,-20.20522058544134
729,500,shortcut_odd_q60,745.8463800055808,778.1907199381199,0.994,,d5-c1-n0.1-m9,5,0.1,9,12.657273566920678
731,500,shortcut_odd_q60,893.8458225180582,780.6474323366213,0.996,,d5-c1-n0.1-m11,5,0.1,11,-18.969061686030443
