instance,point,kind,dim,noise,seed,ks_true,sent
105,1250,hyperbolic,3,0.0,2,-38.95201207125968,7.159839740717628
105,1219,hyperbolic,3,0.0,2,-38.95201207125968,7.132849779748238
105,446,hyperbolic,3,0.0,2,-38.95201207125968,7.056789460602674
105,676,hyperbolic,3,0.0,2,-38.95201207125968,7.015737736036017
105,619,hyperbolic,3,0.0,2,-38.95201207125968,7.046859110027974
105,163,hyperbolic,3,0.0,2,-38.95201207125968,7.033696697183258
106,137,hyperbolic,3,0.05,2,-38.95201207125968,7.035416830878598
106,390,hyperbolic,3,0.05,2,-38.95201207125968,7.064109416584421
106,1250,hyperbolic,3,0.05,2,-38.95201207125968,7.160817591547085
106,1219,hyperbolic,3,0.05,2,-38.95201207125968,7.134233773043584
106,446,hyperbolic,3,0.05,2,-38.95201207125968,7.06042139782666
106,676,hyperbolic,3,0.05,2,-38.95201207125968,7.017997863677664
106,619,hyperbolic,3,0.05,2,-38.95201207125968,7.04855710201428
106,163,hyperbolic,3,0.05,2,-38.95201207125968,7.037668568391778
107,137,hyperbolic,3,0.15,2,-38.95201207125968,7.054604401746871
107,390,hyperbolic,3,0.15,2,-38.95201207125968,7.082901305816582
107,1250,hyperbolic,3,0.15,2,-38.95201207125968,7.168806679623175
107,1219,hyperbolic,3,0.15,2,-38.95201207125968,7.138239885336258
107,446,hyperbolic,3,0.15,2,-38.95201207125968,7.080029575293111
107,676,hyperbolic,3,0.15,2,-38.95201207125968,7.040613732151158
107,619,hyperbolic,3,0.15,2,-38.95201207125968,7.059641169923655
107,163,hyperbolic,3,0.15,2,-38.95201207125968,7.0595354121858565
108,1269,hyperbolic,3,0.0,0,-95.56022883336308,7.123076859162769
108,112,hyperbolic,3,0.0,0,-95.56022883336308,7.136831386600425
108,24,hyperbolic,3,0.0,0,-95.56022883336308,7.115557671336134
108,764,hyperbolic,3,0.0,0,-95.56022883336308,7.147868930021035
108,460,hyperbolic,3,0.0,0,-95.56022883336308,7.128746410081862
108,403,hyperbolic,3,0.0,0,-95.56022883336308,7.114488719043546
108,61,hyperbolic,3,0.0,0,-95.56022883336308,7.139668384048221
108,951,hyperbolic,3,0.0,0,-95.56022883336308,7.127123777811998
109,1269,hyperbolic,3,0.05,0,-95.56022883336308,7.12671437264472
109,112,hyperbolic,3,0.05,0,-95.56022883336308,7.139073087159938
109,24,hyperbolic,3,0.05,0,-95.56022883336308,7.119821771315316
109,764,hyperbolic,3,0.05,0,-95.56022883336308,7.147446813991992
109,460,hyperbolic,3,0.05,0,-95.56022883336308,7.12967157291642
109,403,hyperbolic,3,0.05,0,-95.56022883336308,7.115088806388533
109,61,hyperbolic,3,0.05,0,-95.56022883336308,7.141925709763244
109,951,hyperbolic,3,0.05,0,-95.56022883336308,7.128610631034739
110,1269,hyperbolic,3,0.15,0,-95.56022883336308,7.147479940696014
110,112,hyperbolic,3,0.15,0,-95.56022883336308,7.153333241033991
110,24,hyperbolic,3,0.15,0,-95.56022883336308,7.1394427214376055
110,764,hyperbolic,3,0.15,0,-95.56022883336308,7.160766748485514
110,460,hyperbolic,3,0.15,0,-95.56022883336308,7.145430457289669
110,403,hyperbolic,3,0.15,0,-95.56022883336308,7.133508065128316
110,61,hyperbolic,3,0.15,0,-95.56022883336308,7.155233759170152
110,951,hyperbolic,3,0.15,0,-95.56022883336308,7.150404762195669
111,1421,hyperbolic,3,0.0,1,-95.8233239987634,7.158941201373819
111,706,hyperbolic,3,0.0,1,-95.8233239987634,7.112798092055723
111,52,hyperbolic,3,0.0,1,-95.8233239987634,7.130344772727414
111,1422,hyperbolic,3,0.0,1,-95.8233239987634,7.099583172801529
111,1233,hyperbolic,3,0.0,1,-95.8233239987634,7.111577251203695
111,215,hyperbolic,3,0.0,1,-95.8233239987634,7.1350098695503625
111,1128,hyperbolic,3,0.0,1,-95.8233239987634,7.099032800369232
111,764,hyperbolic,3,0.0,1,-95.8233239987634,7.089757840856648
112,1421,hyperbolic,3,0.05,1,-95.8233239987634,7.158089078190175
112,706,hyperbolic,3,0.05,1,-95.8233239987634,7.111480426344528
112,52,hyperbolic,3,0.05,1,-95.8233239987634,7.135504084914713
112,1422,hyperbolic,3,0.05,1,-95.8233239987634,7.106461860725752
112,1233,hyperbolic,3,0.05,1,-95.8233239987634,7.113193868654248
112,215,hyperbolic,3,0.05,1,-95.8233239987634,7.132064300277888
112,1128,hyperbolic,3,0.05,1,-95.8233239987634,7.110059057524717
112,764,hyperbolic,3,0.05,1,-95.8233239987634,7.092866415031477
113,1421,hyperbolic,3,0.15,1,-95.8233239987634,7.172665916539605
113,706,hyperbolic,3,0.15,1,-95.8233239987634,7.1299221589681245
113,52,hyperbolic,3,0.15,1,-95.8233239987634,7.145642735560949
113,1422,hyperbolic,3,0.15,1,-95.8233239987634,7.131036839344697
113,1233,hyperbolic,3,0.15,1,-95.8233239987634,7.129031932200831
113,215,hyperbolic,3,0.15,1,-95.8233239987634,7.14992778068856
113,1128,hyperbolic,3,0.15,1,-95.8233239987634,7.13506645827586
113,764,hyperbolic,3,0.15,1,-95.8233239987634,7.114441124705328
114,137,hyperbolic,3,0.0,2,-96.93056724706406,7.101013837791435
