dim,branch,estimator,n,r_integ,sign_integ,r_v4_m60,sign_v4_m60,r_ent_cak,sign_ent_cak,r_sent,sign_sent
4,D,fb_potential,48,-0.22284028594715377,0.41666666666666663,-0.10657740814582191,0.40476190476190477,-0.04092413896030387,0.47619047619047616,0.18499816424836737,0.5476190476190477
4,D,heatgeo_4t,48,0.2749585472660479,0.5,-0.24319606298465474,0.5238095238095238,,0.0,0.2877238388252339,0.5476190476190476
4,D,heatgeo_t,48,0.2764453722494693,0.5,-0.24479711329103562,0.5238095238095238,,0.0,0.28786028541135394,0.5476190476190476
4,D,pca_denoise,48,0.1561858117590522,0.6071428571428571,0.03913541820589831,0.44047619047619047,0.12489809273304944,0.5,0.24808518150619796,0.5119047619047619
4,D,plain,48,0.1720010532921678,0.6309523809523809,0.12693408051571559,0.4880952380952381,0.1444000559859978,0.5357142857142857,0.15052229775167467,0.4880952380952381
5,A,oracle,48,0.864473933895831,0.9886363636363636,0.9494482678918944,0.5,0.6404569954832305,0.5,0.46335531283652615,0.5
5,B,diffdist_t4,48,-0.26950477877955237,0.375,0.5614750866820883,0.5,-0.6809083450885327,0.17045454545454544,0.5782760308816177,0.5
5,B,diffdist_t8,48,-0.7575230440571351,0.5,-0.5956417264357899,0.5,-0.9066355209380755,0.022727272727272728,-0.925447132131662,0.5
5,B,fb_potential,48,0.23949386350670474,0.375,-0.3114960792983411,0.2159090909090909,0.14632161236571498,0.4318181818181818,0.4640082785583486,0.6931818181818181
5,B,heatgeo_4t,48,0.14431789065491,0.5,-0.06857132999072467,0.5113636363636364,-0.2941999113196873,0.5,0.4517440486954789,0.75
5,B,heatgeo_t,48,-0.162907544643741,0.5,-0.0898854346286839,0.5113636363636364,-0.11590217784463126,0.5,0.4258333000411717,0.7386363636363636
5,B,pca_denoise,48,0.12605462572531417,0.5,0.589285603662364,0.8522727272727273,0.3232753081677722,0.6704545454545454,0.7886503223741002,1.0
5,B,plain,48,0.4186074122102231,0.48863636363636365,0.7525399662382409,0.8295454545454546,0.6138778902586538,0.7840909090909092,0.7083339758869179,0.9659090909090908
5,C05,diffdist_t4,48,-0.15605800808182727,0.5,0.5822339249717302,0.5,-0.22109248901431383,0.5340909090909091,0.2497557601924186,0.5
5,C05,diffdist_t8,48,-0.37171952520274854,0.5,-0.3226852911422277,0.5,-0.5086165508414145,0.5,-0.35511070288178587,0.5
5,C05,fb_potential,48,0.1305965001846614,0.6818181818181819,0.10474974040798592,0.6818181818181819,0.16954836829333497,0.6931818181818181,0.18843066950942725,0.6363636363636364
5,C05,heatgeo_4t,48,0.04998438017019245,0.5,0.12491331848445805,0.8181818181818181,0.008155431863716719,0.48863636363636365,0.3745446426286772,0.8522727272727273
5,C05,heatgeo_t,48,0.01840360325451553,0.5,0.11496322578678791,0.8295454545454546,,0.0,0.37570287040735884,0.8522727272727273
5,C05,pca_denoise,48,0.2520362436280379,0.7613636363636364,0.36539685062994864,0.8863636363636364,0.28582091968206075,0.6477272727272727,0.2996656892476997,0.75
5,C05,plain,48,0.230528219867994,0.8181818181818181,0.09373316318459313,0.8295454545454546,0.2956920034108081,0.7954545454545454,0.33258575736596935,0.7272727272727273
5,D,diffdist_t4,48,0.08157662129346302,0.5909090909090909,0.10851442823460382,0.5,0.05510055678965685,0.6136363636363636,0.0710218154322398,0.6136363636363636
5,D,diffdist_t8,48,0.08066649538691223,0.5681818181818181,0.07102105584194152,0.5,0.03053359027326427,0.5909090909090909,0.03622327263736872,0.5568181818181818
5,D,fb_potential,48,-0.10359960440757228,0.5909090909090909,0.13374332448573575,0.6363636363636364,-0.03702201947072556,0.3068181818181818,0.045712855000722676,0.5795454545454546
5,D,heatgeo_4t,48,0.2769183550555046,0.5,-0.09943818547181564,0.4431818181818182,,0.0,0.14200568696973725,0.7613636363636364
5,D,heatgeo_t,48,0.28076163143652194,0.5,-0.10037536928893671,0.4431818181818182,,0.0,0.14233574377005784,0.7613636363636364
5,D,pca_denoise,48,0.03111465098184313,0.6363636363636364,-0.06937391164622399,0.625,-0.03143214882436692,0.3409090909090909,0.1338540413402212,0.6590909090909091
5,D,plain,48,0.10692181852597214,0.7840909090909092,0.22832338262334617,0.5,0.16465308126879816,0.7613636363636364,0.09260751687049175,0.7159090909090909
