kind,dim,ks,integ_sign,integ_mag,iso,v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa
hyperbolic,4,-40.11041088662597,0.49621395431983173,2.0736389930237347,-0.8056596505424996,-11.42661917199165,-4.606974142068414,2.336097161707836,586.6448896058594,4.194884887540499,-0.0,2.470085078075871
hyperbolic,4,-40.11041088662597,0.49354495481443716,1.6738312608188812,-0.8056596505424996,-11.473520389854599,-3.9927251218933635,2.715978177487115,584.8693107107215,4.350148826302418,-0.0,2.7715458983074
hyperbolic,4,-40.11041088662597,0.49750028340856955,2.748793602329783,-0.8056596505424996,-12.02027254841219,-4.596380959605569,1.7283682171485863,584.0089451362242,8.710191157278945,-0.0,3.510020476099454
hyperbolic,4,-40.11041088662597,0.4973923699764089,2.1313129202092487,-0.8056596505424996,-9.299467954313059,-3.658759058305798,4.152540927466425,586.2931408256718,1.755846467211125,-499999999.99999994,2.071806251461545
hyperbolic,4,-40.11041088662597,0.49575669973318026,1.8182098293864755,-0.8056596505424996,-11.48905680273319,-4.341275959444095,2.7082443132194687,585.6293374346337,4.897390392509041,-0.0,3.5618583066428227
hyperbolic,4,-93.47682461989912,0.49504072121459985,1.9115685669898663,-1.0111551417900366,-25.62545135694945,-12.937972416118479,2.3097526352758253,393.83927896968805,5.455414176685241,-0.0,2.1216441589055273
hyperbolic,4,-93.47682461989912,0.49206797476304764,1.629095996594818,-1.0111551417900366,-29.027339847903043,-13.995238393191022,2.670197150236624,392.82904987945,3.6936148207345028,-0.0,2.4439799586597384
hyperbolic,4,-93.47682461989912,0.4857189698476171,1.7131758671399353,-0.8056596505424996,-21.70314529967051,-12.4220418207364,0.9716010703364444,395.0632467513004,3.0639662356698656,-0.0,0.9816548600034477
hyperbolic,4,-93.47682461989912,0.48508794760572427,1.9294538890119615,-0.8056596505424996,-21.588049928130065,-11.138719418692029,3.9576242905095014,392.66670310317824,-1.1747952038135894,-0.0,-0.891172450277197
hyperbolic,4,-93.47682461989912,0.47654200139909053,1.3353894538759323,-1.0111551417900366,-28.186413075206904,-13.820838897775342,1.1763556494237066,393.3403521315483,4.4361411326546385,-0.0,2.6825159236154033
hyperbolic,4,-93.47682461989912,0.4980487069410773,2.041058313887302,-1.0111551417900366,-26.905201813426533,-13.221763755803893,3.2880093972424835,393.0109156116342,5.733857072635183,-0.0,1.557052066025471
hyperbolic,4,-93.47682461989912,0.4985029883510014,2.8750274764763906,-1.0111551417900366,-28.41646691417038,-13.295171536646746,0.6685620827005002,391.3271373202236,8.13502548200253,-0.0,0.26770042058400423
