config,kind,dim,noise,field_r,balsign,corr_v3,flatnull_med,flatnull_iqr
resid_n|true|m60|single,necklace,3,0.15,0.9518685751411862,0.9,0.6863386782936716,,
resid_n|true|m60|single,necklace,4,0.0,0.9632754904496147,0.9927536231884058,0.7005654446559642,,
resid_n|true|m60|single,necklace,4,0.15,0.932994631297807,0.8181818181818181,0.680503975426761,,
resid_n|true|m60|single,necklace,5,0.0,-0.04874375875692789,0.8857142857142857,0.7187981404182286,,
resid_n|true|m60|single,necklace,5,0.15,0.012979782489721791,0.7857142857142857,0.6516653581813043,,
resid_n|true|m60|single,necklace,6,0.0,-0.1956831516331665,0.8541666666666667,0.6361906914876662,,
resid_n|true|m60|single,necklace,6,0.15,-0.15940864116163905,0.7291666666666667,0.5955731231918941,,
resid_n|true|m60|single,torus,3,0.0,,,,8.141219410495529e-17,1.418387820857349e-16
resid_n|true|m60|single,torus,3,0.15,,,,0.01536119284532918,0.013995727239684182
resid_n|true|m60|single,torus,4,0.0,,,,0.0026412005333180675,0.004018052100006975
resid_n|true|m60|single,torus,4,0.15,,,,0.010072523972231915,0.022359633434870702
resid_n|true|m60|single,torus,5,0.0,,,,0.030768472163114624,0.02061031817356384
resid_n|true|m60|single,torus,5,0.15,,,,0.03245770115632632,0.0395284556987201
resid_n|true|m60|single,torus,6,0.0,,,,0.08182865823402419,0.022915667002568918
resid_n|true|m60|single,torus,6,0.15,,,,0.06276084734897242,0.036054442704234316
