kind_ok,m,rate_deform,rate_channel,static_score,ks,delocal_r,kind,dim,seed,rq,point
1.0,60,2.496020861105079e-05,-3.855266532681867e-07,-0.007018461612935173,-111.5462967308825,-0.06501526485884519,necklace,3,0,0.05,281
1.0,60,-0.0009430753956122523,-4.625416108794411e-06,-0.00014705503373234428,-98.87541271215034,0.03814080538582832,necklace,3,0,0.05,1091
1.0,60,0.00012092241135666434,-8.174424793357579e-07,-0.0046491186691263375,-62.08550438615729,0.021329215757102678,necklace,3,0,0.05,773
1.0,60,4.1651979241537804e-05,-2.6103115195278786e-07,-0.0019100365045865222,-43.004832492773005,0.11735197450137372,necklace,3,0,0.05,58
1.0,60,2.1282256722273313e-05,2.5537560806772792e-08,-0.0012804105462397635,-30.70483357309919,0.023720019816967253,necklace,3,0,0.05,691
1.0,60,0.00012417692260610112,-1.3019793169514553e-06,-0.0021104347892807393,-15.012228157171593,0.12439288981134221,necklace,3,0,0.05,342
1.0,60,-0.003812632513234826,-3.9073424762392506e-07,0.0014238926642096588,-6.5402548612096,-0.1349321960028852,necklace,3,0,0.05,1171
1.0,60,-0.0014059205495405326,-1.6567197747008322e-06,-0.0024911773071920025,0.15042779271323647,-0.058286395305639976,necklace,3,0,0.05,273
1.0,60,2.901318005831143e-05,1.0590968605820687e-07,0.0005320317362910347,6.0569930097032945,-0.02546138538283046,necklace,3,0,0.05,491
1.0,60,0.00023700516720512408,-1.3606697404355828e-06,-0.0004523471720532684,11.364988476916778,-0.1479748260224453,necklace,3,0,0.05,626
1.0,60,-0.0036583566991854697,-1.2525293013136245e-06,-5.122868377551386e-05,14.689818090935855,-0.181248315063564,necklace,3,0,0.05,1072
1.0,60,0.0,0.0,0.0,17.799507480250732,,necklace,3,0,0.05,385
1.0,60,-0.0013405790125011875,3.675224325464891e-06,-0.003817835555532169,19.76694501422421,-0.16407228705810264,necklace,3,0,0.05,228
1.0,60,1.3834929783232206e-05,-8.274106437037668e-09,-0.0008903574008490003,22.22512372341265,0.0744813131406178,necklace,3,0,0.05,1119
1.0,60,0.00020335473084888515,7.624240444907097e-07,-0.00239809953070955,24.411933528654323,-0.05918818138558559,necklace,3,0,0.05,936
1.0,60,1.2770986354100674e-05,-2.2412679800964952e-07,-0.0020149588948014784,26.91632392646017,-0.005102703144147863,necklace,3,0,0.05,246
1.0,60,3.342402755002194e-05,-6.164544492648361e-07,-0.0029488004722840466,29.0424639181102,0.002071205913839823,necklace,3,0,0.05,271
1.0,60,3.662856630661257e-05,-1.4776547008210628e-06,-0.00018470089325694182,30.561787750446936,0.08839465194169566,necklace,3,0,0.05,12
1.0,60,0.00010891153869138123,-3.127839135252941e-06,-0.0015743222505045069,32.14693386328595,0.09970401445758191,necklace,3,0,0.05,463
1.0,60,0.00019232563299878238,-5.967156339418504e-08,0.007525530746043489,33.61004935235025,-0.19160824365166956,necklace,3,0,0.05,664
1.0,60,1.3902253604473713e-05,-2.529437352905006e-07,-0.002406359158347392,34.927219403317814,-0.049547069971717136,necklace,3,0,0.05,649
1.0,60,-0.0002652929871307159,-1.0479517795758397e-06,0.00045359874536704103,36.15492285309677,-0.1343334966625454,necklace,3,0,0.05,997
1.0,60,0.00019739842575599513,-6.568529222761299e-07,0.0017800325026243943,37.10388573639734,0.030860425200668135,necklace,3,0,0.05,31
1.0,60,0.00011780638211223807,8.719183410832443e-07,0.0028919434797996905,37.9969925323541,0.03448747868932648,necklace,3,0,0.05,371
1.0,60,7.362464040569402e-05,1.0093272232817678e-07,0.002246221209488727,39.133269775083036,0.08006538886389791,necklace,3,0,0.05,709
1.0,60,4.208206942914647e-05,-3.8125438421114194e-07,0.0031178361595896945,40.03976099110309,-0.0764867377782897,necklace,3,0,0.05,145
1.0,60,2.366732454872622e-05,-1.272294746890168e-06,-0.001961732806400285,40.56775589937314,-0.14790021876461987,necklace,3,0,0.05,84
1.0,60,1.2328359712432402e-05,-6.179191943308145e-08,0.0014641419446926247,41.282334513277306,0.011762736263446009,necklace,3,0,0.05,152
1.0,60,2.2165934503988514e-05,-1.375077773128434e-07,-0.000286340714305805,41.7456017715289,-0.07317045645176207,necklace,3,0,0.05,345
1.0,60,-7.613006451920209e-05,-5.480067170419526e-07,-0.0013211929662739718,42.152340048430865,-0.020546590949456118,necklace,3,0,0.05,788
