seed,kind,dim,kernel,t,band,norm,score,ks
0,torus,2,adaptive_k10,2,1.0,spread2,0.050154712903293604,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.0662082962020036,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.05101639695942811,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,-0.06435641691465235,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.07606685346122338,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,-0.11925145134457424,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,-0.09536579065775197,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.0964590999088793,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,-0.07187982217760581,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.007961464855041006,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.051631430784646326,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.01986643826668749,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.02084965487684412,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,0.03497056746787261,0.0
0,torus,2,adaptive_k10,2,1.0,spread2,-0.0049883729389577774,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,-0.05232593023163501,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,0.04387899440527801,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,-0.053998646799902,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,0.012672447096384579,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,0.043144656877647646,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,-0.004983478996340588,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,0.05364793425468777,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,0.05277927675124103,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,-0.10935346111136371,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,-0.010358037088393866,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,0.025992336896276086,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,0.022427218448867723,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,-0.07852647436523924,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,0.0012105536621992152,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,0.08284417340244463,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,-0.021034901187074195,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,-0.03301542533934744,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,0.2504530737295725,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,0.036312821908709984,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,-0.004540736271695859,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,0.0064075709686940395,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,-0.027583339740040517,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,-0.012815771716476472,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,-0.15149980860917756,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,-0.04285403028276469,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,0.0449616161727345,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,0.06227611557568258,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,0.051846622610275256,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,-0.0638232595148458,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,0.09947031228524955,0.0
0,torus,2,adaptive_k10,2,1.0,dij2,-0.10475216512688779,0.0
