v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,ks,kind,dim,seed,branch,estimator
-0.03619189571003316,0.0017762398600532617,0.001939606055742997,-6.949831839836055,-4.914921283721924,-0.0,0.503471627274712,3.0,0.21046360681323423,0.16563412268429478,0.5179347118712417,919,1400,3,6.605360713324066,dumbbell,3,0,B,plain
-0.040438780602353,-0.027776483272999603,-0.007711188167913267,-7.043523911791053,-5.213611602783203,-0.125,0.20144678565531057,3.0,0.23406179613358577,0.1689012796824627,0.4732904240973141,1107,1400,3,7.3857094587224115,dumbbell,3,0,B,plain
0.006857386666102504,-0.009757463540759228,0.019901902442479576,-6.964306879077492,-5.141627311706543,-0.0,0.4790677351793436,3.0,0.23980861734729117,0.17227241600009374,0.48168806382469553,661,1400,3,8.355744883799076,dumbbell,3,0,B,plain
0.0002046756956067499,0.013370111475310378,0.010696973198420341,-6.953031503170296,-4.83809757232666,-0.0,0.43844960090816987,3.0,0.2099616147772207,0.1764501235219032,0.5303048123718214,397,1400,3,9.178669145217661,dumbbell,3,0,B,plain
0.007537030343024882,0.022670175946693055,0.023524712859490284,-6.97861219774347,-5.033438205718994,-0.0,0.4531873311406166,3.0,0.22688844743461228,0.18617250786293738,0.4873323745272834,460,1400,3,10.291751725325792,dumbbell,3,0,B,plain
0.018549882619407137,0.0281364791554716,0.01681137307415922,-6.969587008540582,-4.914545059204102,-0.0,0.4700806590009402,3.0,0.2222521508150289,0.19398393066723452,0.5092177831746878,964,1400,3,11.41168825762969,dumbbell,3,0,B,plain
0.0007557024972399294,0.02545222176468977,0.00833918620584971,-6.9710271762938785,-4.868762016296387,-0.0,0.3584178460606018,3.0,0.21227202298220732,0.17330493225706503,0.5146551058900615,319,1400,3,12.373259461365768,dumbbell,3,0,B,plain
0.03113763980819079,0.038882448071434685,0.013657616998714707,-6.959670667493976,-4.740705490112305,-0.0,0.23405039928425136,3.0,0.2265295273485941,0.18125336401178985,0.5292525956259435,1323,1400,3,13.292811739534624,dumbbell,3,0,B,plain
0.022917759246264376,0.029433824174102573,-0.007559502549190142,-6.951183770416783,-4.577376365661621,-0.0,0.40399156163699246,3.0,0.17692072602554812,0.16310555577268862,0.5286112231565165,185,1400,3,14.409416562572522,dumbbell,3,0,B,plain
-0.004586339741005799,0.007286537058030625,0.014208602082563889,-7.040574103006531,-5.12077522277832,-0.0625,0.35755575275597185,3.0,0.23468595570395628,0.19151198040020148,0.5091284179819431,1222,1400,3,15.33757314504347,dumbbell,3,0,B,plain
0.011389554958377287,0.03106154959338308,0.02034514121898883,-6.970375025366706,-4.868513584136963,-0.0,0.38425316339161925,3.0,0.2230893466308638,0.17381120946929185,0.5135732549228433,190,1400,3,16.176736933411025,dumbbell,3,0,B,plain
