readout,dest,m,pool,p,value,ks,kind,dim,seed,dist
lam_d1,est,30,single,747,0.0024123056710407646,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,236,0.0012653126902890158,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,236,0.0033145150033064563,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,236,0.0011252702524971229,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,236,0.0012653126902890158,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,236,0.0033145150033064563,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,236,0.0011252702524971229,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,223,0.003926944479006913,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,223,0.006906477837423697,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,223,0.003501978939409702,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,223,0.003926944479006913,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,223,0.006906477837423697,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,223,0.003501978939409702,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,307,0.0008737100581283285,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,307,0.0027139278007378693,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,307,0.0007380234381698183,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,307,-0.00035914247194364856,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,307,-0.001111316513248242,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,307,3.629382097598414e-06,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,1168,0.0022628340526737556,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,1168,0.004673813375590885,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,1168,0.0017604190888211397,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,1168,0.0022628340526737556,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,1168,0.004673813375590885,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,1168,0.0017604190888211397,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,940,0.001521889494816859,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,940,0.004256929495972865,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,940,0.00117768843909419,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,940,0.001521889494816859,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,940,0.004256929495972865,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,940,0.00117768843909419,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,225,0.0019044419717045241,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,225,0.00481626200979586,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,225,0.0017892992112418286,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,225,0.0019044419717045241,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,225,0.00481626200979586,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,225,0.0017892992112418286,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,549,0.0019552143038834577,-8.956077783870782,hyperbolic,2,0,exact
