anchor,ks,gamma,V,goal_acc,kappa0,frac0,ent0,kappaw,fracw,entw,kind,dim,seed,mode
1154,25.370971992037134,0.95,0.35656356604640743,0.9,0.5248258847434717,0.0,4.913895606994629,0.668965786568792,0.0,5.1020894050598145,dumbbell,3,0,random
1249,26.638318248049746,0.95,0.060495345242699713,0.9,0.5130776187516054,0.0,5.192132949829102,0.546628332997104,0.0,3.347066879272461,dumbbell,3,0,random
1117,27.884008918879832,0.95,0.2897969019926767,0.9,0.012866602667449156,0.25,5.153010845184326,0.4142102272139139,0.0,4.69215202331543,dumbbell,3,0,random
229,29.282661796048142,0.95,0.28217995508995874,0.9,0.20649551581557657,0.3125,5.437863349914551,0.13860611952784674,0.0625,4.7467803955078125,dumbbell,3,0,random
663,30.171477332536107,0.95,0.1363671758268188,0.9,0.2130348288065404,0.125,5.158254623413086,0.3795653409598351,0.0,4.088509559631348,dumbbell,3,0,random
518,31.158070337016014,0.95,0.13357560080861056,0.9,0.41734675467910276,0.0,5.088789939880371,0.502721550155586,0.0,4.9713850021362305,dumbbell,3,0,random
1190,32.52797648270132,0.95,0.34385773846111634,0.9,0.38096557491178706,0.0,5.045560836791992,0.6896609826144104,0.0,4.958471775054932,dumbbell,3,0,random
170,33.93425705374371,0.95,0.08897074232415579,0.9,0.3975856354697153,0.0,5.0581159591674805,0.7497691680247938,0.0,3.794506549835205,dumbbell,3,0,random
1124,35.17052208313692,0.95,0.33744502537956145,0.9,0.4806489105570547,0.0,4.952242851257324,0.7153630031797984,0.0,4.930177211761475,dumbbell,3,0,random
1410,36.16632769128221,0.95,0.20126526550087698,0.9,0.5254645875879533,0.0,5.052696228027344,0.29146628170630867,0.1875,3.795271396636963,dumbbell,3,0,random
107,37.095283943089456,0.95,0.39598221308646736,0.9,0.39539070113777924,0.0,5.083843231201172,0.7830078634158919,0.0,4.84153938293457,dumbbell,3,0,random
8,38.02496510354766,0.95,0.3240972332759675,0.9,0.05994326899020805,0.0625,5.230481147766113,0.3008329405152741,0.0,5.192043781280518,dumbbell,3,0,random
1100,39.30184026927018,0.95,0.3649116735423036,0.9,0.4086112131782993,0.0625,5.011948108673096,0.22576336182684564,0.0,5.186224937438965,dumbbell,3,0,random
610,40.26435430885271,0.95,0.2016193878991558,0.9,0.1379174217058739,0.125,5.370110511779785,0.02291345600387111,0.0,4.925758361816406,dumbbell,3,0,random
365,41.172919210791385,0.95,0.3137740816412417,0.9,0.44968593060328177,0.1875,5.330501556396484,0.015791377965556783,0.0625,4.509366035461426,dumbbell,3,0,random
725,41.995526232768704,0.95,0.43184353320640123,0.9,0.4381553874853372,0.0,4.967750072479248,0.6924553909221016,0.0,5.17132043838501,dumbbell,3,0,random
1439,42.81210292124083,0.95,0.46569106956526046,0.9,0.42357287068011623,0.0,5.195257186889648,0.23814004131088962,0.0,4.927613258361816,dumbbell,3,0,random
1003,43.6569644178917,0.95,0.29032686814033126,0.9,0.2693230468846303,0.0,5.065152168273926,0.46874824684378247,0.0,5.026515483856201,dumbbell,3,0,random
42,44.312955863146314,0.95,0.31805058445890166,0.9,0.28730218867797536,0.0,5.071758270263672,0.6210108680347286,0.0,4.798108100891113,dumbbell,3,0,random
836,44.89688883831238,0.95,0.272481922776891,0.9,0.1700271816921612,0.0,4.903633117675781,0.1574022030242311,0.0,4.537078857421875,dumbbell,3,0,random
198,45.49239635782935,0.95,0.3671944962445471,0.9,0.44555002993382936,0.25,5.026820182800293,0.6176691240024293,0.0,5.136990070343018,dumbbell,3,0,random
724,45.81502293129721,0.95,0.16989274702650933,0.9,0.15295426651126304,0.0625,5.154259204864502,0.24876480165918094,0.0,4.979648590087891,dumbbell,3,0,random
439,46.19172058564673,0.95,0.0,0.9,-0.27227084799466184,0.0,4.9770402908325195,0.6689256663199499,0.0,3.5105478763580322,dumbbell,3,0,random
1459,46.49110298165155,0.95,0.18655099928703184,0.9,-0.08209858555141375,0.125,5.268154144287109,0.45039902587571246,0.0,4.672101020812988,dumbbell,3,0,random
813,46.73060276940405,0.95,0.1133101094851906,0.9,0.17572028194770303,0.0,5.124312400817871,0.26824413918951084,0.0,3.6728250980377197,dumbbell,3,0,random
384,46.86483530289183,0.95,0.27978813172046546,0.9,0.2608816067937887,0.125,5.226502418518066,0.0850490874645305,0.0,4.826425552368164,dumbbell,3,0,random
676,-123.73268824969645,0.99,0.3545935733754987,0.9,0.13777616890441358,0.9375,5.982611656188965,0.14713763698979176,0.0,4.979002952575684,dumbbell,3,0,random
535,-52.756128616739964,0.99,0.338302532168296,0.9,0.17504074280061066,0.6875,5.554250240325928,0.14064346924190774,0.0,5.0947794914245605,dumbbell,3,0,random
612,-14.869072970510835,0.99,0.2594891915866109,0.9,-0.22016146408990184,0.4375,5.534523010253906,0.4865085218005343,0.0625,4.7485222816467285,dumbbell,3,0,random
894,5.431549965527312,0.99,0.2882380099646803,0.9,0.011712620049715503,0.25,5.281321048736572,-0.10191261995291676,0.0,4.814776420593262,dumbbell,3,0,random
1380,9.298448521830508,0.99,0.0,0.9,0.5344446413219259,0.0,5.10643196105957,0.6106947402627011,0.0,3.6396899223327637,dumbbell,3,0,random
1044,9.734029362206519,0.99,0.37709389740531746,0.9,0.4351388675471567,0.0,5.132402420043945,0.08283241422300498,0.0,5.122196197509766,dumbbell,3,0,random
545,10.187353512545416,0.99,0.1469074325121467,0.9,0.4474960306334227,0.0,5.062822341918945,0.28038101301158935,0.0,4.682346343994141,dumbbell,3,0,random
539,10.727248684091858,0.99,0.23661553292500642,0.9,0.564736115106419,0.0,5.082959175109863,0.18597456578202087,0.1875,4.313072204589844,dumbbell,3,0,random
308,11.290719418418739,0.99,0.39160329151602546,0.9,0.5058837087712185,0.0,5.2476067543029785,-0.18477917157469703,0.0,5.194463729858398,dumbbell,3,0,random
