kind,dim,seed,score,ks
sphere,2,0,0.0030255130965818923,4.926430452997441
sphere,2,0,0.015900984894314466,4.926430452997441
sphere,2,0,0.0156974148841162,4.926430452997441
sphere,2,0,0.0039040204353366845,4.926430452997441
sphere,2,0,0.0068364686856522035,4.926430452997441
sphere,2,0,-0.0058242818443375935,4.926430452997441
sphere,2,0,-0.014593832513140378,4.926430452997441
sphere,2,0,0.0008325465441412355,4.926430452997441
sphere,2,0,-0.003432403155228631,4.926430452997441
sphere,2,0,0.0025032015723781206,4.926430452997441
sphere,2,0,0.013696967977157939,4.926430452997441
sphere,2,0,-0.002743858126765312,4.926430452997441
sphere,2,0,-0.01503966796667525,4.926430452997441
sphere,2,0,0.012487436040950456,4.926430452997441
sphere,2,0,-0.001742930296704543,4.926430452997441
sphere,2,0,-0.015940040227789495,4.926430452997441
sphere,2,0,0.015916311576725215,4.926430452997441
sphere,2,0,-0.011113063337970398,4.926430452997441
sphere,2,0,0.0029912278615628167,4.926430452997441
sphere,2,0,0.003544796996844634,4.926430452997441
sphere,2,0,0.015748429096962537,4.926430452997441
sphere,2,0,0.0002610137500222258,4.926430452997441
sphere,2,0,-0.008499680809239126,4.926430452997441
sphere,2,0,0.013328297890928233,4.926430452997441
sphere,2,0,-0.016023930097993674,4.926430452997441
sphere,2,0,0.011250800997377255,4.926430452997441
sphere,2,0,0.0022024590312278436,4.926430452997441
sphere,2,0,0.005580719164143651,4.926430452997441
sphere,2,0,-0.014475952391397238,4.926430452997441
sphere,2,0,-0.03386176604075229,4.926430452997441
sphere,3,0,0.008104587409401214,14.817984233792032
sphere,3,0,-0.017288553341908732,14.817984233792032
sphere,3,0,-0.001821217192333597,14.817984233792032
sphere,3,0,-0.010016167318274857,14.817984233792032
sphere,3,0,0.004293285039711915,14.817984233792032
sphere,3,0,-0.007874997637161325,14.817984233792032
sphere,3,0,0.00017143349567717847,14.817984233792032
sphere,3,0,0.012098038064146222,14.817984233792032
sphere,3,0,0.004380999827698521,14.817984233792032
sphere,3,0,0.011356507821021388,14.817984233792032
sphere,3,0,-0.0005479691961112684,14.817984233792032
sphere,3,0,-0.02583103903901085,14.817984233792032
sphere,3,0,-0.012578390956623473,14.817984233792032
sphere,3,0,-0.006812778409338978,14.817984233792032
sphere,3,0,-0.02316275038082336,14.817984233792032
sphere,3,0,-0.0005800387311767907,14.817984233792032
sphere,3,0,-0.014493456183659933,14.817984233792032
sphere,3,0,-0.0057943801100033,14.817984233792032
sphere,3,0,-0.01475005921056749,14.817984233792032
sphere,3,0,-0.0025058441096549935,14.817984233792032
sphere,3,0,-0.014273271399431887,14.817984233792032
sphere,3,0,-0.001041726623222071,14.817984233792032
sphere,3,0,-0.012885317241583576,14.817984233792032
sphere,3,0,-0.007877465648619453,14.817984233792032
sphere,3,0,-0.021333260214716272,14.817984233792032
sphere,3,0,-0.0032444270034956285,14.817984233792032
sphere,3,0,-0.011088282859649471,14.817984233792032
sphere,3,0,-0.0034560969052797597,14.817984233792032
sphere,3,0,0.002914086245349331,14.817984233792032
sphere,3,0,-0.006238018543138109,14.817984233792032
sphere,3,0,-0.001330430237077341,14.817984233792032
sphere,3,0,0.007077841107533636,14.817984233792032
sphere,3,0,0.002896806475187929,14.817984233792032
sphere,3,0,-0.005630031125512067,14.817984233792032
sphere,3,0,-0.01340798203976713,14.817984233792032
sphere,3,0,0.0006344371994920703,14.817984233792032
sphere,3,0,-0.03338370875581999,14.817984233792032
sphere,3,0,-0.00879358859950925,14.817984233792032
sphere,3,0,-0.005928945327897568,14.817984233792032
sphere,3,0,-0.006907739249571127,14.817984233792032
dumbbell,3,0,0.0177862556801179,-162.58837866467266
dumbbell,3,0,-0.002280632760596167,-76.54376649368484
dumbbell,3,0,0.04722376202844379,-29.818401645150427
dumbbell,3,0,-0.004813056173975899,5.223564145134746
dumbbell,3,0,-0.014483160274846925,9.427481819720276
dumbbell,3,0,-0.0015652089722455048,9.808983825972199
dumbbell,3,0,-0.0020827050669528675,10.426289623503726
dumbbell,3,0,-0.000859929845891446,11.815381734802955
dumbbell,3,0,-0.003786318806880122,12.70083357459393
dumbbell,3,0,-0.000545825997399569,13.483820822848784
dumbbell,3,0,-0.005644380215290724,14.458031237419936
dumbbell,3,0,-0.010862551774464095,16.191747919914384
dumbbell,3,0,-0.0022067699202749716,17.329527664168435
