anchor,ks,V,ent0,entw,frac0,fracw,d_ent,d_frac,kind,dim,seed,mode,goal_acc
1100,39.30184026927018,0.3649116735423036,6.353312,4.4468865,0.0625,0.0625,-1.9064255,0.0,dumbbell,3,0,random,0.9
610,40.26435430885271,0.2016193878991558,6.668812,4.5674176,0.125,0.5,-2.1013942,0.375,dumbbell,3,0,random,0.9
365,41.172919210791385,0.3137740816412417,6.5436482,4.432353,0.1875,0.75,-2.1112952,0.5625,dumbbell,3,0,random,0.9
725,41.995526232768704,0.43184353320640123,6.323924,4.2138577,0.0,0.4375,-2.1100664,0.4375,dumbbell,3,0,random,0.9
1439,42.81210292124083,0.46569106956526046,6.3634377,4.5202594,0.0,0.9375,-1.8431783,0.9375,dumbbell,3,0,random,0.9
1003,43.6569644178917,0.29032686814033126,6.3239202,4.3595147,0.0,0.125,-1.9644055,0.125,dumbbell,3,0,random,0.9
42,44.312955863146314,0.31805058445890166,6.2505894,3.5028992,0.0,0.0625,-2.7476902,0.0625,dumbbell,3,0,random,0.9
836,44.89688883831238,0.272481922776891,6.254198,4.1722245,0.0,0.625,-2.0819736,0.625,dumbbell,3,0,random,0.9
198,45.49239635782935,0.3671944962445471,6.4102993,4.4810867,0.25,0.3125,-1.9292126,0.0625,dumbbell,3,0,random,0.9
724,45.81502293129721,0.16989274702650933,6.3758955,4.2252464,0.0625,0.0625,-2.150649,0.0,dumbbell,3,0,random,0.9
439,46.19172058564673,0.0,6.3874297,3.8270397,0.0,0.1875,-2.56039,0.1875,dumbbell,3,0,random,0.9
1459,46.49110298165155,0.18655099928703184,6.4504004,4.1979656,0.125,0.375,-2.2524347,0.25,dumbbell,3,0,random,0.9
813,46.73060276940405,0.1133101094851906,6.440813,4.300291,0.0,0.5625,-2.140522,0.5625,dumbbell,3,0,random,0.9
384,46.86483530289183,0.27978813172046546,6.410677,4.183255,0.125,0.8125,-2.2274218,0.6875,dumbbell,3,0,random,0.9
518,-129.27976579480693,0.6383267120210211,7.0269394,4.5921283,0.9375,0.8125,-2.434811,-0.125,dumbbell,3,1,proxy,1.0
771,-60.29774119015027,0.4911701174899457,6.8649883,4.734323,0.75,0.9375,-2.1306653,0.1875,dumbbell,3,1,proxy,1.0
422,-26.163006228925056,0.43055311254829787,6.799165,3.6741047,0.4375,0.9375,-3.12506,0.5,dumbbell,3,1,proxy,1.0
1186,3.4814826953899036,0.4735141686768116,6.668502,4.4646807,0.1875,0.5,-2.2038212,0.3125,dumbbell,3,1,proxy,1.0
386,9.150050099113331,0.8239239790477927,6.3423343,3.4673553,0.0,0.0,-2.874979,0.0,dumbbell,3,1,proxy,1.0
1155,9.479295147836876,0.5566330978851043,6.366949,3.2973785,0.0,0.0625,-3.0695705,0.0625,dumbbell,3,1,proxy,1.0
862,9.817485823556025,0.9418503641047343,6.362176,3.5532024,0.0,0.25,-2.8089736,0.25,dumbbell,3,1,proxy,1.0
451,10.282687225740652,1.0671348435358254,6.3251696,3.648088,0.0,0.0625,-2.6770816,0.0625,dumbbell,3,1,proxy,1.0
63,10.70158306126052,0.4531793875252598,6.291052,4.181035,0.0,0.25,-2.1100168,0.25,dumbbell,3,1,proxy,1.0
730,11.688996802134785,0.3363069019880309,6.3375196,4.6045294,0.0,0.875,-1.7329903,0.875,dumbbell,3,1,proxy,1.0
420,12.303102055323818,0.8858987661185767,6.66108,4.929861,0.375,1.0,-1.7312188,0.625,dumbbell,3,1,proxy,1.0
328,13.168196042602606,0.702011358500124,6.5971727,4.514616,0.0625,0.8125,-2.0825567,0.75,dumbbell,3,1,proxy,1.0
236,13.987736289975153,0.48817497316327624,6.2901297,4.3181286,0.0,0.625,-1.9720011,0.625,dumbbell,3,1,proxy,1.0
936,14.743058696547628,0.47235867387035285,6.270735,4.2903256,0.0,0.125,-1.9804091,0.125,dumbbell,3,1,proxy,1.0
304,15.649471483080921,0.4953115137455969,6.2451534,3.2795172,0.0,0.0625,-2.9656363,0.0625,dumbbell,3,1,proxy,1.0
1255,16.670580130392466,0.41883557356722523,6.2832403,4.0968714,0.0,0.4375,-2.186369,0.4375,dumbbell,3,1,proxy,1.0
1317,17.68259354168012,0.8104547911223363,6.262806,4.5462956,0.0,0.9375,-1.7165103,0.9375,dumbbell,3,1,proxy,1.0
1466,18.770484998828806,0.8035956225871499,6.2617426,3.4439118,0.0,0.375,-2.8178308,0.375,dumbbell,3,1,proxy,1.0
475,20.047681029643805,0.08542246981457463,6.170478,4.291648,0.0,0.25,-1.87883,0.25,dumbbell,3,1,proxy,1.0
364,21.452717269843408,0.5852348310339814,6.4875803,4.1903343,0.125,0.1875,-2.297246,0.0625,dumbbell,3,1,proxy,1.0
1381,22.450341885123233,1.2930757640407193,6.1377974,4.939672,0.0,1.0,-1.1981254,1.0,dumbbell,3,1,proxy,1.0
215,23.24833994165201,0.35642839350290106,6.321046,3.2604876,0.0,1.0,-3.0605583,1.0,dumbbell,3,1,proxy,1.0
257,24.134117788674768,0.6571938260704627,6.1925917,3.4291606,0.0,0.375,-2.763431,0.375,dumbbell,3,1,proxy,1.0
1123,25.55126465939824,0.5525646223086904,6.3243833,3.3174148,0.0,0.3125,-3.0069685,0.3125,dumbbell,3,1,proxy,1.0
1068,26.863457037200046,0.05831422241205157,6.161146,3.2443118,0.0,0.625,-2.9168344,0.625,dumbbell,3,1,proxy,1.0
1135,28.282722773482444,0.3756662552179538,6.2508354,4.0524445,0.0,0.0,-2.198391,0.0,dumbbell,3,1,proxy,1.0
159,29.145116165998843,1.0905347073265668,6.6157017,4.9342494,0.1875,0.9375,-1.6814523,0.75,dumbbell,3,1,proxy,1.0
656,30.059747519270065,0.6663648422992785,6.242567,4.311775,0.0,0.1875,-1.9307919,0.1875,dumbbell,3,1,proxy,1.0
1034,31.528142474202845,0.5493708903963985,6.296817,4.4653125,0.0,0.6875,-1.8315043,0.6875,dumbbell,3,1,proxy,1.0
273,32.88698110356113,0.4915844028065624,6.3112373,4.3157454,0.0,0.125,-1.995492,0.125,dumbbell,3,1,proxy,1.0
