d,seed,corruption,est,chan,field_r
4,0,C17,plain,v3_defect,0.1482855609818866
4,0,C17,plain,sent,0.15282670233816684
4,0,C17,plain,ent_cak,-0.024501170341761535
4,0,C17,plain,frac,0.05190650718592063
4,0,C17,plain,kappa,-0.2516115572858106
4,0,C17,nugget,v4_m60,0.12266396427643836
4,0,C17,nugget,v4_m120,0.16434266124854438
4,0,C17,nugget,v3_defect,-0.038714136020480606
4,0,C17,nugget,sent,0.07298629631505486
4,0,C17,nugget,ent_cak,0.037658149669013104
4,0,C17,nugget,frac,0.021225323442493605
4,0,C17,nugget,kappa,0.09434231611492556
4,0,C17,pca,v4_m60,0.06025003884958181
4,0,C17,pca,v4_m120,-0.12923718268816156
4,0,C17,pca,v3_defect,0.2685815723790576
4,0,C17,pca,sent,0.2967540221076814
4,0,C17,pca,ent_cak,-0.027863988300672576
4,0,C17,pca,frac,0.2736759742453349
4,0,C17,pca,kappa,0.10190726088103716
4,0,C17,diffusion_t4,v4_m60,-0.21755889992164404
