kind,dim,seed,noise,p,score,ks
dumbbell,5,0,0.0,125,0.0,97.12618740417327
dumbbell,5,0,0.0,161,0.02840716377154645,98.65881520665178
dumbbell,5,0,0.0,1096,0.0026146377595592796,100.96880920623063
dumbbell,5,0,0.0,255,-0.004280029143737221,102.69024372289559
dumbbell,5,0,0.0,735,0.0,104.12128633478336
dumbbell,5,0,0.0,437,0.0,106.3562584009517
dumbbell,5,0,0.0,286,-0.006262568339648392,107.60425394931467
dumbbell,5,0,0.0,141,0.0,109.0431235556174
dumbbell,5,0,0.0,659,-0.01911840592037726,110.46197773800667
dumbbell,5,0,0.0,510,-0.003812295173896179,111.42984642472354
dumbbell,5,0,0.0,290,0.00396770737420785,112.29286080120616
dumbbell,5,0,0.0,1375,0.0,112.93685043299948
dumbbell,5,0,0.0,666,0.0,113.58668012001334
dumbbell,5,0,0.0,1301,0.0,113.9740067599326
dumbbell,5,0,0.0,139,0.0067586677171682825,114.27145125257658
dumbbell,5,0,0.0,264,0.0,114.37783233507731
dumbbell,5,0,0.15,1215,0.0041989248837853745,-220.09329687014704
dumbbell,5,0,0.15,511,-0.007924713401378687,-22.510561564498104
dumbbell,5,0,0.15,636,0.0,30.86506887494513
dumbbell,5,0,0.15,781,0.0,34.849540270807054
dumbbell,5,0,0.15,412,0.0,37.047199948671725
dumbbell,5,0,0.15,1328,-0.01438790195252937,40.8717192115729
dumbbell,5,0,0.15,714,-0.007873713551564552,43.954918043765225
dumbbell,5,0,0.15,1316,0.0,49.220350954616364
dumbbell,5,0,0.15,576,0.0,52.37776877688457
dumbbell,5,0,0.15,48,0.0,55.46035020324626
dumbbell,5,0,0.15,1134,0.0,58.13062888117096
dumbbell,5,0,0.15,428,-0.013885126871925356,62.77696672321145
dumbbell,5,0,0.15,719,0.0,66.29612912953641
dumbbell,5,0,0.15,587,0.0,68.58219274809008
dumbbell,5,0,0.15,1083,0.0,71.48687649552357
dumbbell,5,0,0.15,1047,0.0,74.28099702538144
dumbbell,5,0,0.15,383,0.0,77.33185038161002
dumbbell,5,0,0.15,1265,0.0,79.99689515742895
dumbbell,5,0,0.15,834,0.0,82.04604922645436
dumbbell,5,0,0.15,845,0.0,84.7151428607952
dumbbell,5,0,0.15,707,0.0,87.01919022676229
dumbbell,5,0,0.15,825,-0.0035065824855343188,90.15929199496348
dumbbell,5,0,0.15,1321,0.0,92.70443141694055
dumbbell,5,0,0.15,697,0.0,94.72948200780306
dumbbell,5,0,0.15,125,-0.0021807182619948164,97.12618740417327
dumbbell,5,0,0.15,161,-0.010916703631054188,98.65881520665178
dumbbell,5,0,0.15,1096,0.0,100.96880920623063
dumbbell,5,0,0.15,255,-0.007055502680618168,102.69024372289559
dumbbell,5,0,0.15,735,-0.0024205355169266037,104.12128633478336
dumbbell,5,0,0.15,437,0.0,106.3562584009517
dumbbell,5,0,0.15,286,-0.008262820604310724,107.60425394931467
dumbbell,5,0,0.15,141,0.0,109.0431235556174
dumbbell,5,0,0.15,659,-0.06270832273974072,110.46197773800667
dumbbell,5,0,0.15,510,-0.04158541818266517,111.42984642472354
dumbbell,5,0,0.15,290,0.0,112.29286080120616
dumbbell,5,0,0.15,1375,0.0,112.93685043299948
dumbbell,5,0,0.15,666,0.0,113.58668012001334
dumbbell,5,0,0.15,1301,-0.010202866195752343,113.9740067599326
dumbbell,5,0,0.15,139,0.0,114.27145125257658
dumbbell,5,0,0.15,264,0.0,114.37783233507731
dumbbell,5,1,0.0,358,-0.0009597565512016078,-226.73989372103873
dumbbell,5,1,0.0,1123,0.001468838663335515,-24.49407245850461
dumbbell,5,1,0.0,1101,0.0,31.06439192123521
dumbbell,5,1,0.0,1022,0.0,35.970929166558896
dumbbell,5,1,0.0,501,0.0,38.898577673382334
dumbbell,5,1,0.0,466,-0.002839921136258236,41.83279059403986
dumbbell,5,1,0.0,228,0.0,44.74344688716575
dumbbell,5,1,0.0,1208,0.0,47.66194299636955
dumbbell,5,1,0.0,1127,0.0,51.26785497965181
dumbbell,5,1,0.0,613,0.0,54.030899639630164
dumbbell,5,1,0.0,1316,0.0030322021484155068,58.101246575553255
dumbbell,5,1,0.0,1279,-0.005480528917458732,61.724460133395105
dumbbell,5,1,0.0,1126,-0.0037441056188606756,64.67887533409298
dumbbell,5,1,0.0,1317,0.0,68.56763610673255
dumbbell,5,1,0.0,897,-0.008094855433757396,70.84344057713771
dumbbell,5,1,0.0,1166,0.0,73.41206105063878
dumbbell,5,1,0.0,28,0.0,77.05858631004605
dumbbell,5,1,0.0,8,0.0,80.14137587596663
dumbbell,5,1,0.0,746,0.0,82.49952930152352
dumbbell,5,1,0.0,1082,0.0,86.02577296473804
