v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,inst_id,ks,dim,shape,name,integ_sign,integ_mag,iso
-277.2375424661903,-9.566304471363683,2.6893207840138764,-2.668616189196905,-9.226170422556866,-78.17954149583025,-9.82107155906573,5.0,0.2949612978232187,0.2058205000023112,0.4046097684861283,0,2000,4,147,-16.0,4,Saddle,4-Saddle,-0.49116461143396595,-2.1681839027050107,-1.0111551417900366
-55.52214900913071,0.1432174547262418,2.554105182816798,1.642753314061223,-0.3841766355843354,0.20412412923193277,-3.4580652825696,5.0,0.2354277657713399,0.3011456426350813,0.5321599208388299,0,2000,4,148,2.0,4,Sphere,4-Sphere,-0.1555995154085038,-0.38275887983251927,-1.0111551417900366
0.43649081353777947,2.3676586230149472,2.099103260086691,-2.9851095899742086,-9.40627801239371,-78.17954149583025,-9.576093401507745,4.0,0.2931193339935719,0.2278032587708084,0.4086306677780242,0,2000,4,149,0.0,4,Plane,4-Plane,-0.49233619405712353,-0.5613465671208487,-0.1389627224724735
-303.8262214056054,-12.098447769128796,3.064191488853501,-2.929385515324401,-9.33060827468097,-78.17954149583025,-10.325353835651464,5.0,0.2970076073352998,0.2129955601831438,0.4037194426116214,0,2000,4,150,-16.0,4,Saddle,4-Saddle,-0.489541449857197,-2.1681839027050107,-1.0111551417900366
-45.26234621430709,0.5694145354847513,4.591489433133498,2.864207112442421,-2.7186455132967176,0.20412412923193277,-2.8619591069110935,5.0,0.2704439472501976,0.3044568008032944,0.524128454631605,0,2000,4,151,2.0,4,Sphere,4-Sphere,-0.24245460004908348,-0.6614087552921779,-1.0111551417900366
0.43647553304243825,2.3676577767709746,2.43428177389563,-2.7879960608323855,-8.084652089077316,-78.17954149583025,-8.525071999921552,4.0,0.2647976113420558,0.2122441590290149,0.4208561524156445,0,2000,4,152,0.0,4,Plane,4-Plane,-0.4715992184668811,-0.7116842366528546,-0.1389627224724735
-338.53375699777513,-9.391892574803464,4.026508144311317,-2.8179501593918643,-9.884918953972198,-78.17954149583025,-8.794294087407597,5.0,0.306454842462115,0.2133316256034336,0.389456781101319,0,2000,4,153,-16.0,4,Saddle,4-Saddle,-0.4577893135976133,-2.1733730372192066,-1.0111551417900366
-43.89500190943051,0.033115677996163474,3.1615560670089597,0.9286566361022269,0.0008842410392732556,-4.694854972334454,-4.610166033594263,5.0,0.231943286227469,0.3175910794711841,0.5524407784164844,0,2000,4,154,2.0,4,Sphere,4-Sphere,0.09383728179524031,-0.12102555353579555,-1.0111551417900366
0.43645379677343604,2.367657371981693,0.8216985770203081,-3.041835671112309,-7.82924301124673,-78.17954149583025,-9.558290799144153,4.0,0.2727681861864153,0.2201760535020602,0.4148722481943381,0,2000,4,155,0.0,4,Plane,4-Plane,-0.49542297326610496,-1.0138274484602907,-0.1389627224724735
-237.72273324026432,-9.563407929295915,2.9747972916072114,-1.9688411068193117,-8.849417482775483,-78.17954149583025,-9.057931993645347,5.0,0.2757058009031781,0.1837979680293222,0.3932463065047529,0,2000,4,156,-16.0,4,Saddle,4-Saddle,-0.4909680831007732,-2.358837698242887,-1.0111551417900366
-56.728431164041545,-0.3995777787364793,2.126960170900916,5.568383579974602,-0.7419340273607757,0.20412412923193277,-3.5905793709332645,5.0,0.2509926556977411,0.2512668979433091,0.5400988719447485,0,2000,4,157,2.0,4,Sphere,4-Sphere,-0.3153984122979445,-0.2519223706317601,-1.0111551417900366
0.4364320530025383,2.3676570382040607,1.0066886956869612,-3.536510671952923,-9.5881152600016,-78.17954149583025,-8.156821333747056,4.0,0.3073488430923123,0.2465893455284636,0.4280821527728884,0,2000,4,158,0.0,4,Plane,4-Plane,-0.4958938885812806,-1.1107389788615092,-0.1389627224724735
-242.8896110527604,-7.547871861983859,3.0979337623814267,-2.5123876444326467,-9.45223390346221,-78.17954149583025,-8.02116132078787,5.0,0.2909870895805425,0.2087205695209304,0.3835070037531868,0,2000,4,159,-16.0,4,Saddle,4-Saddle,-0.4925273761424382,-2.1713201620977705,-1.0111551417900366
-48.223213469841916,-0.22266527775046424,3.9712225664652006,3.6090115436142294,-1.8640327677044157,0.20412412923193277,-4.352411768360969,5.0,0.2631129788451032,0.2874578423673657,0.5501976540216044,0,2000,4,160,2.0,4,Sphere,4-Sphere,0.3015287439919717,-0.49463309775812053,-1.0111551417900366
0.4364976618328953,2.36765787180735,2.050697358566404,-3.1248203907813354,-8.624690301986805,-78.17954149583025,-7.440228506870351,4.0,0.2775256620882267,0.2249689821827887,0.4172227474117017,0,2000,4,161,0.0,4,Plane,4-Plane,-0.49233619405712353,-0.6080827995272146,-0.1389627224724735
-347.770164603641,-10.542178922097921,2.955144202072732,-2.3081201718195112,-8.53809024306928,-78.17954149583025,-12.755146720844252,5.0,0.2729336203503762,0.1977289206114316,0.4036399780237157,0,2000,4,162,-16.0,4,Saddle,4-Saddle,-0.4941288661785739,-2.4372892753786957,-1.0111551417900366
-63.91055192203045,-0.413337767427896,2.747190834649321,2.8237206593462365,-0.5084720748283058,0.20412412923193277,-3.113624466405786,5.0,0.2509964601407322,0.298664379314656,0.5691095690678383,0,2000,4,163,2.0,4,Sphere,4-Sphere,0.08487629820206977,-0.14103722462377713,-1.0111551417900366
0.43648842573009433,2.3676580166711227,1.8422170037871186,-2.5561331590512024,-7.4167335817048325,-78.17954149583025,-11.71638782546351,4.0,0.2541606344268119,0.206609205448476,0.4185318655324777,0,2000,4,164,0.0,4,Plane,4-Plane,-0.48416344683853474,-0.5920994964773277,-0.1389627224724735
