kind,dim,seed,branch,ks,integ_sign,integ_mag,v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa
dumbbell,3,0,B,6.605360713324066,0.09029572812619313,0.40000893940454535,-0.0801106227134885,2.1452542056609403,0.8326309128448738,12.834227240073554,5.580551735224646,16.782637011370444,15.509012378479833
dumbbell,3,0,B,7.3857094587224115,-0.3311878633088031,0.0606401228154751,-0.24051320992100864,0.7908757414050165,-0.15134012988394038,4.503296379246988,2.823690436056297,14.599529757858841,5.310696616100786
dumbbell,3,0,B,8.355744883799076,-0.05630303274705023,0.34499981490570697,1.5454674043447527,1.6166789005150848,2.6639680377655286,11.54713215773357,3.488098929591839,16.782637011370444,14.68497668818657
dumbbell,3,0,B,9.178669145217661,0.07933470527247677,0.62613970193503,1.2942579794480382,2.6765776259196223,1.725487721573496,12.549719310709303,6.289600642037069,16.782637011370444,13.313448706412208
dumbbell,3,0,B,10.291751725325792,0.36274537946590424,0.5447948789494088,1.5711381790342278,3.1027879165280616,3.0333401577694836,10.275134746185982,4.486665760745486,16.782637011370444,13.81109948641853
dumbbell,3,0,B,11.41168825762969,0.3016757085903047,0.6964201966063012,1.986987797766858,3.3532913301684792,2.3488860763005683,11.077633498051382,5.584011004162399,16.782637011370444,14.381517435150487
dumbbell,3,0,B,12.373259461365768,-0.04144147166121109,0.4313724528212262,1.3150638582472178,3.230278635407682,1.4851227718332547,10.949582388952637,6.006587551652586,16.782637011370444,10.61106654169103
dumbbell,3,0,B,13.292811739534624,0.08051929638493593,0.7210640504532725,2.4623160806315556,3.8457588440807116,2.027330564978518,11.959379345582386,7.188526444245771,16.782637011370444,6.411618031836586
dumbbell,3,0,B,14.409416562572522,0.2147931409714815,0.6323601254754223,2.1519245013734727,3.4127452379443466,-0.13584667423142344,12.714023183436135,8.696015112062346,16.782637011370444,12.14992969632341
dumbbell,3,0,B,15.33757314504347,0.07409230241424836,0.516935009566609,1.1133378627298558,2.397771101182503,2.083542732681496,4.765582811504276,3.6805592739276363,15.691083384614641,10.58196441408944
dumbbell,3,0,B,16.176736933411025,0.34122090677611905,0.6105301048487107,1.7166060516811217,3.487340968131998,2.7091605266374965,11.007564865970737,6.008876126522346,16.782637011370444,11.483430167953834
dumbbell,3,0,B,17.079064983670342,0.10520825873609296,0.5455385154697618,2.631011117349451,1.580710532368958,1.1759909517417622,8.878761613255389,7.747986175580732,16.782637011370444,8.018492964541132
dumbbell,3,0,B,17.851715608550524,-0.13014568514125896,0.017337250550444046,2.1100092583049754,3.276252890690318,-2.606546527277271,7.524532320183432,4.678989670810201,15.691083384614641,2.639627149665675
