instance,point,kind,dataset,dim,noise,seed,name,ks_true,kappa,frac,ent2,ent4
468,579,necklace,tier2,5,0.0,0,warped(d=5),106.1744800167218,0.7280823128790765,0.0,3.5233657360076904,4.541884422302246
468,304,necklace,tier2,5,0.0,0,warped(d=5),107.88690190847451,0.6151176186177761,0.0,3.1404776573181152,4.171518802642822
468,705,necklace,tier2,5,0.0,0,warped(d=5),109.19563159783604,0.7641460507218554,0.0,3.189741611480713,4.000650405883789
468,1427,necklace,tier2,5,0.0,0,warped(d=5),110.31939331041087,0.6494587865626409,0.0,2.772179365158081,4.050603866577148
468,438,necklace,tier2,5,0.0,0,warped(d=5),111.14163903692776,0.3431153928595919,0.0,3.27406644821167,4.518330097198486
468,457,necklace,tier2,5,0.0,0,warped(d=5),111.80869492784956,0.6555189725116999,0.0,2.742118120193481,3.827096939086914
468,876,necklace,tier2,5,0.0,0,warped(d=5),112.4375938906739,0.6044579081059752,0.0,3.2609119415283203,4.307625770568848
468,1065,necklace,tier2,5,0.0,0,warped(d=5),112.76046666303576,0.5904595029149665,0.0,3.131908893585205,4.158439636230469
468,446,necklace,tier2,5,0.0,0,warped(d=5),112.89836016552852,0.7244126872951577,0.0,3.1396408081054688,4.393257141113281
469,1401,necklace,tier2,5,0.05,0,warped(d=5),-60.15587855260094,0.1856824730049313,0.0,3.4877376556396484,4.775053024291992
469,11,necklace,tier2,5,0.05,0,warped(d=5),-21.349776077280744,0.7373116134358755,0.0,3.636390209197998,4.890079975128174
469,1263,necklace,tier2,5,0.05,0,warped(d=5),11.125704385405546,0.5401204991625086,0.0,3.612918376922608,4.733159065246582
469,1386,necklace,tier2,5,0.05,0,warped(d=5),31.160815671380945,0.7436662097233322,0.0,3.664144992828369,4.737190246582031
469,347,necklace,tier2,5,0.05,0,warped(d=5),46.51226121609809,0.7669473420243674,0.0,3.010506153106689,4.309080123901367
469,172,necklace,tier2,5,0.05,0,warped(d=5),57.3213661093841,0.569734538225129,0.0,3.2635326385498047,4.524479866027832
469,841,necklace,tier2,5,0.05,0,warped(d=5),67.34280861633508,0.5986803872104559,0.0,3.1546261310577397,4.107770919799805
469,447,necklace,tier2,5,0.05,0,warped(d=5),74.5498904676121,0.8595042842003607,0.0,3.5038647651672363,4.59765625
