v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,ks,manifold,family
0.5159870429795932,2.758909297408627,1.874627578282908,10.54838747634082,-1.4845843183923104,-0.0,1.0464506555293014,5.0,0.181815632827218,0.3686224425220208,0.6393689249274235,955,1400,5,87.28371493101966,2,bumpy_periodic
6.553799935899992,7.626365386087916,-0.4939373139733851,14.743746349959292,0.8376313759907514,-0.0,0.86983631604967,5.0,0.1375118291101176,0.4224075623552886,0.7344216192529773,85,1400,5,98.71046295417293,2,bumpy_periodic
2.296485717662691,4.369553816986691,1.5612710366745248,10.823108667522654,-0.8595415740877302,-0.0,0.8253323691154265,5.0,0.1585765653136334,0.411438003907557,0.6655895669810424,1348,1400,5,105.67849526818148,2,bumpy_periodic
1.6728552062248647,3.1452018789449365,-0.1472847096702739,9.519062322207755,-0.7880417938574561,-0.0,1.1968339853762295,5.0,0.1595057876897398,0.4085890644938349,0.6685821338468436,1360,1400,5,114.32651810599008,2,bumpy_periodic
7.305775213339051,7.9833115429768835,1.063251230097579,16.04543419171652,-0.201356814815628,-0.0,1.2171273920569403,5.0,0.1239975740057699,0.3991451441068365,0.7188703216144596,1109,1400,5,123.77138721637432,2,bumpy_periodic
2.540498543094853,3.729662834416124,1.653815223041737,12.020006897216172,-1.037415830349473,-0.0,0.243759345075109,5.0,0.1679929409443751,0.3778175913159267,0.6719688580318589,953,1400,5,131.8060615523699,2,bumpy_periodic
6.463017524517561,7.503150592792894,-0.8459379652382955,15.198853647957153,-0.2297171887460308,-0.0,0.8248572833590374,5.0,0.1594433371012867,0.413636477885936,0.7025190274359511,736,1400,5,136.65001372869182,2,bumpy_periodic
2.149932313239636,4.897812912239909,0.227890706564208,10.104560646722812,0.1985442044765966,-0.0,1.0404480196902526,5.0,0.1172143011818512,0.4194081545055371,0.6586091565823794,907,1400,5,141.80134414806045,2,bumpy_periodic
5.927381199816414,7.413918509279037,0.1251856834100994,12.471629974708415,-0.26356858868169,-0.0,0.9711721839956244,5.0,0.1245652980357509,0.4191997738490555,0.7027802871433901,327,1400,5,144.6436614308858,2,bumpy_periodic
5.256866441807931,6.268103293739126,0.5311800938385758,12.51814110108531,0.8350556968326129,-0.0,1.259406381236492,5.0,0.0868865294633374,0.4153479789816328,0.6908385192527742,176,1400,5,147.5153411475892,2,bumpy_periodic
5.422347912716396,7.058276038549878,1.822152719371908,17.74196026455076,-0.8236124596311727,-0.0,1.0256128680772554,5.0,0.1660706664263986,0.367657403075031,0.6966935059520007,805,1400,5,150.188748096017,2,bumpy_periodic
5.663747037659936,6.505766646789191,3.614439338778984,16.630685801544743,-1.779521582591972,-0.0,0.1544273643272966,5.0,0.1992769929972485,0.3594430359849329,0.6933795036057958,74,1400,5,152.01876054489313,2,bumpy_periodic
5.362189645064673,5.756329568645096,0.9019399276392556,12.630177204648383,-0.6814537510957918,-0.0,0.9267295919205378,5.0,0.1613363354450996,0.3995532796247227,0.6898471142859376,957,1400,5,152.51219676998014,2,bumpy_periodic
-18.160359631204805,-15.652214260806828,1.0405059622772046,-1.856815933414028,-0.3538193131832119,-1000000000.0,1.704660740229727,5.0,0.1586992077071098,0.4333344469180227,0.6104709081851664,1172,1400,5,171.98233990585803,2,bumpy_periodic
0.4018610566050483,5.072278416538421,1.870377217980353,2.1859238437327075,-0.1206951291799256,-1000000000.0,1.3323755334514915,5.0,0.127617649286971,0.3964310305531926,0.6479009824037245,92,1400,5,189.15258579616105,2,bumpy_periodic
2.2875275959959063,5.47767552357993,2.385054779945305,2.00351183413292,-1.1797564462253975,-1000000000.0,1.0615858085740892,5.0,0.153941990369166,0.3765388284539744,0.6519156804205606,0,1400,5,207.03294970877351,2,bumpy_periodic
-0.982730385640622,-0.3028823977367263,2.3495989406921267,-1.1555588713013896,0.2820584547799373,-1000000000.0,1.4993010276315135,5.0,0.1126184119261111,0.4178487634155667,0.6494112562286776,1365,1400,5,218.5396911075663,2,bumpy_periodic
2.098827261739044,5.073090862188598,1.4217154224460895,0.566495774806908,0.0453138317599926,-1000000000.0,1.5706838920862285,5.0,0.1454315486490565,0.4382072888378722,0.66388533862999,1200,1400,5,233.69424913727596,2,bumpy_periodic
2.018887573551513,1.7299808943433117,2.3213845963663005,-0.568134163003452,0.673931940695964,-1000000000.0,1.356708064033534,5.0,0.0907084839082287,0.4167845392178604,0.6415753367076634,418,1400,5,240.6297258320055,2,bumpy_periodic
1.7449890357079838,3.3563077079122707,2.95795998649622,0.6681590011425451,-1.7448100131374595,-1000000000.0,1.2860965569045968,5.0,0.161109476568837,0.3730020744345452,0.6363206147611274,524,1400,5,246.80883399488232,2,bumpy_periodic
2.828218005849996,0.7055790522954601,0.6803006381929231,1.04660099516209,1.3931914188057748,-687500000.0,1.7165229751764532,1.0,0.0998583471769204,0.4625973544878014,0.6689960466203988,1250,1400,5,251.3993405314577,2,bumpy_periodic
