v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,branch,estimator,rep,n_bucket
-0.009809270778660067,-0.023218072647642623,0.015471023323925004,-6.828005738939483,-4.889374732971191,-0.0,0.21175222787954853,3.0,0.23689900160819904,0.16896067040730312,0.5041369942946792,1341,1400,3,B,diffdist_t8,3,1400
-0.011168946066269279,-0.019644175154418138,0.026379054891122546,-6.879723255785343,-4.945043087005615,-0.0,0.09272796901482017,3.0,0.20516391850322335,0.15947903912169506,0.4789015622697818,1371,1400,3,B,diffdist_t8,3,1400
-4.096071200438487,-3.231232388339968,3.6221744747388235e-05,-7.158283118600902,-0.0012685121037065983,-0.9375,0.9961654801480141,3.0,2.844335812050631e-05,0.6609635355740618,0.7147180427890965,1269,1400,3,B,heatgeo_t,0,1400
-4.279601032596569,-3.2559550851831363,4.604504019562611e-05,-7.158037309092732,-0.0015731368912383914,-0.0,0.9952209515220811,3.0,3.633594336792706e-05,0.6436869003384624,0.7342665519968646,358,1400,3,B,heatgeo_t,0,1400
-4.462418165835067,-3.3631450101176275,4.073869596759455e-05,-7.158159763027456,-0.0013966432306915522,-0.75,0.9959533096228215,3.0,3.1752959884024564e-05,0.652812697037925,0.7232611329200294,25,1400,3,B,heatgeo_t,0,1400
-3.904847148473338,-3.018742704676989,3.393657482611209e-05,-7.158277408669509,-0.001197888283059001,-0.0,0.999770158446456,3.0,2.7012268137571196e-05,0.6541703759089723,0.7215949260849416,317,1400,3,B,heatgeo_t,1,1400
-3.942440141841169,-2.873280376917206,3.108403487185607e-05,-7.158257774636817,-0.0010604503331705928,-0.0,0.9991293128549208,3.0,2.3502570145567652e-05,0.6664227395672933,0.7130607855076624,363,1400,3,B,heatgeo_t,1,1400
-4.1419814888011315,-2.823575117137439,4.39622668164906e-05,-7.15797625774403,-0.0015184729127213359,-0.0,0.9995677807247896,3.0,3.536572152285801e-05,0.6401926168712547,0.7470680098593725,459,1400,3,B,heatgeo_t,1,1400
-3.9600565817932867,-3.147444960357455,4.034688915293197e-05,-7.1582740239109155,-0.0014169509522616863,-0.0,0.9989053163154735,3.0,3.219390992280927e-05,0.6556395366728246,0.7182809936732609,1330,1400,3,B,heatgeo_t,2,1400
-3.752152823752311,-2.871224999950496,4.53442341514336e-05,-7.158042140118857,-0.0015904493629932404,-0.0,0.9958442160265009,2.0,3.670203309216459e-05,0.6457406580154316,0.7273425295786249,1027,1400,3,B,heatgeo_t,2,1400
