dataset,instance,method,ks_hat,elapsed_s,fb_elapsed_s,err,name,dim,codim,noise,m,shape,ks_true
colosseum,9,spc_diffusion_t5,150.66128836587845,18.78,,,d2-c1-n0.01-m9,2,1,0.01,9,,0.013554686773316
colosseum,9,laziness_knn_t5,-4.22215461730957,0.67,,,d2-c1-n0.01-m9,2,1,0.01,9,,0.013554686773316
colosseum,9,laziness_adaptive_t5,-4.132205963134766,0.63,,,d2-c1-n0.01-m9,2,1,0.01,9,,0.013554686773316
colosseum,9,successor_entropy,-7.67219352722168,0.03,28.38,,d2-c1-n0.01-m9,2,1,0.01,9,,0.013554686773316
colosseum,9,successor_orc,0.8022418097651486,4.25,28.38,,d2-c1-n0.01-m9,2,1,0.01,9,,0.013554686773316
colosseum,10,dc2,0.0107913017272949,11.63,,,d2-c1-n0.01-m10,2,1,0.01,10,,-2.736608526585309
colosseum,10,dc_wasserstein_ollivier,0.245214581489563,3.15,,,d2-c1-n0.01-m10,2,1,0.01,10,,-2.736608526585309
colosseum,10,dc_entropic_subtraction,-0.3727612495422363,2.66,,,d2-c1-n0.01-m10,2,1,0.01,10,,-2.736608526585309
colosseum,10,hickock,1.928141274752184,47.28,,,d2-c1-n0.01-m10,2,1,0.01,10,,-2.736608526585309
colosseum,10,frc_weighted_adaptive,-28.50317814897421,0.78,,,d2-c1-n0.01-m10,2,1,0.01,10,,-2.736608526585309
colosseum,10,frc_unweighted_knn,-6.9,0.24,,,d2-c1-n0.01-m10,2,1,0.01,10,,-2.736608526585309
colosseum,10,orc,-0.0995474737417258,7.28,,,d2-c1-n0.01-m10,2,1,0.01,10,,-2.736608526585309
colosseum,10,spc_hop,-23.585009586791667,55.28,,,d2-c1-n0.01-m10,2,1,0.01,10,,-2.736608526585309
colosseum,10,spc_diffusion_t5,-232.41196361854935,19.13,,,d2-c1-n0.01-m10,2,1,0.01,10,,-2.736608526585309
colosseum,10,laziness_knn_t5,-4.475274085998535,0.69,,,d2-c1-n0.01-m10,2,1,0.01,10,,-2.736608526585309
colosseum,10,laziness_adaptive_t5,-4.452919960021973,0.63,,,d2-c1-n0.01-m10,2,1,0.01,10,,-2.736608526585309
colosseum,10,successor_entropy,-7.5733160972595215,0.03,28.64,,d2-c1-n0.01-m10,2,1,0.01,10,,-2.736608526585309
colosseum,10,successor_orc,-34.36066423731984,4.24,28.64,,d2-c1-n0.01-m10,2,1,0.01,10,,-2.736608526585309
colosseum,11,dc2,-0.3721861839294433,11.59,,,d2-c1-n0.01-m11,2,1,0.01,11,,-1.650226290123144
colosseum,11,dc_wasserstein_ollivier,0.2723669409751892,3.09,,,d2-c1-n0.01-m11,2,1,0.01,11,,-1.650226290123144
colosseum,11,dc_entropic_subtraction,0.0596570968627929,2.64,,,d2-c1-n0.01-m11,2,1,0.01,11,,-1.650226290123144
colosseum,11,hickock,1.4014116897090574,48.13,,,d2-c1-n0.01-m11,2,1,0.01,11,,-1.650226290123144
colosseum,11,frc_weighted_adaptive,-15.346762909405127,0.79,,,d2-c1-n0.01-m11,2,1,0.01,11,,-1.650226290123144
colosseum,11,frc_unweighted_knn,-3.642857142857143,0.24,,,d2-c1-n0.01-m11,2,1,0.01,11,,-1.650226290123144
colosseum,11,orc,0.0476668083413896,7.51,,,d2-c1-n0.01-m11,2,1,0.01,11,,-1.650226290123144
colosseum,11,spc_hop,-743.185187762727,54.22,,,d2-c1-n0.01-m11,2,1,0.01,11,,-1.650226290123144
colosseum,11,spc_diffusion_t5,-389.9237146242406,18.69,,,d2-c1-n0.01-m11,2,1,0.01,11,,-1.650226290123144
colosseum,11,laziness_knn_t5,-4.127384662628174,0.68,,,d2-c1-n0.01-m11,2,1,0.01,11,,-1.650226290123144
colosseum,11,laziness_adaptive_t5,-4.0636186599731445,0.64,,,d2-c1-n0.01-m11,2,1,0.01,11,,-1.650226290123144
colosseum,11,successor_entropy,-7.672609806060791,0.04,28.81,,d2-c1-n0.01-m11,2,1,0.01,11,,-1.650226290123144
colosseum,11,successor_orc,0.2141229048578637,5.3,28.81,,d2-c1-n0.01-m11,2,1,0.01,11,,-1.650226290123144
colosseum,12,dc2,-0.339702844619751,11.83,,,d2-c1-n0.01-m12,2,1,0.01,12,,-9.198005585862596
colosseum,12,dc_wasserstein_ollivier,0.198645532131195,3.27,,,d2-c1-n0.01-m12,2,1,0.01,12,,-9.198005585862596
